datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-07-12 08:26:00.000;K;PKW;TOYOTA;ANDREAESTR.;12;141322;;
2021-07-12 08:26:00.000;K;PKW;MERCEDES;ANDREAESTR.;5;141322;;
2021-07-12 07:34:00.000;K;PKW;VW-VOLKSWAGEN;EDITH-STEIN-STR.;14;112403;;
2021-07-09 09:25:00.000;K;PKW;VW-VOLKSWAGEN;STEINKOPFSTR.;32;113142;;
2021-07-09 11:15:00.000;JÜL;PKW;SEAT;STEINKOPFSTR.;7;113140;;
2021-07-09 09:30:00.000;JÜL;PKW;SEAT;STEINKOPFSTR.;30;113140;;
2021-07-09 09:35:00.000;WB;PKW;SKODA;STEINKOPFSTR.;3;113142;;
2021-07-09 11:13:00.000;K;PKW;VW-VOLKSWAGEN;ELISABETH-BREUER-STR.;2;141312;;
2021-07-09 11:04:00.000;K;PKW;MERCEDES;FÜRSTENBERGSTR.;37;113140;;
2021-07-09 09:46:00.000;K;PKW;FORD;FRANKFURTER STR.;39;141322;;
2021-07-09 09:35:00.000;K;PKW;FIAT;STEINKOPFSTR.;2;112402;;
2021-07-09 08:56:00.000;K;PKW;RENAULT;FRANKFURTER STR.;61;141322;;
2021-07-09 08:56:00.000;K;PKW;MERCEDES;FRANKFURTER STR.;61;141322;;
2021-07-09 08:48:00.000;K;PKW;CITROEN;AUGUSTASTR.;26;141312;;
2021-07-09 08:35:00.000;K;PKW;VW-VOLKSWAGEN;HOLSTEINSTR.;;112272;;
2021-07-09 07:10:00.000;K;PKW;FORD;EULENBERGSTR.;9;141312;;
2021-07-09 08:30:00.000;K;PKW;BMW;WRANGELSTR.;14;937221;;
2021-07-09 08:50:00.000;K;PKW;VW-VOLKSWAGEN;JOHANNITERSTR.;;112403;;
2021-07-09 08:50:00.000;K;PKW;FORD;MALTESERSTR.;;112273;;
2021-07-09 08:22:00.000;K;PKW;OPEL;GRONAUER STR.;7;329113;;
2021-07-09 08:17:00.000;K;PKW;VW-VOLKSWAGEN;BERGISCH GLADBACHER STR.;267;329113;;
2021-07-09 07:53:00.000;K;PKW;MERCEDES;GRONAUER STR.;53;141312;937221;
2021-07-09 07:53:00.000;K;PKW;AUDI;GRONAUER STR.;53;141312;937221;
2021-07-09 07:53:00.000;K;PKW;VW-VOLKSWAGEN;GRONAUER STR.;43;112112;;
2021-07-09 07:53:00.000;K;PKW;FORD;GRONAUER STR.;45;937221;;
2021-07-09 08:00:00.000;K;PKW;FIAT;GRONAUER STR.;10;112403;;
2021-07-13 08:48:00.000;K;PKW;TOYOTA;RINGENSTR.;9;141245;;
2021-07-13 08:36:00.000;WI;PKW;NISSAN;WILHELM-DAVID-STR.;15-17;141312;;
2021-07-13 08:36:00.000;K;PKW;UNBEKANNT;WILHELM-DAVID-STR.;15;141312;;
2021-07-12 11:44:00.000;K;PKW;MERCEDES;AUF DEM ORTH;;141312;;
2021-07-12 09:41:00.000;K;PKW;BMW;IM WIESCHEN;;113140;;
2021-07-12 09:41:00.000;K;PKW;NISSAN;IM WIESCHEN;;113140;;
2021-07-12 09:31:00.000;RS;PKW;BMW;AN DER KEMPERWIESE;;113140;;
2021-07-12 09:25:00.000;EL;PKW;OPEL;AN DER KEMPERWIESE;;113140;;
2021-07-12 09:25:00.000;K;PKW;VW-VOLKSWAGEN;AN DER KEMPERWIESE;;113140;;
2021-07-12 09:25:00.000;KT;PKW;NISSAN;AN DER KEMPERWIESE;;113140;;
2021-07-12 09:25:00.000;K;PKW;SEAT;AN DER KEMPERWIESE;;113140;;
2021-07-12 09:20:00.000;K;PKW;FORD;AN DER KEMPERWIESE;;113140;;
2021-07-09 10:33:00.000;K;PKW;VW-VOLKSWAGEN;WIESENSTR.;;112403;;
2021-07-09 10:17:00.000;K;PKW;TOYOTA;AN DER KEMPERWIESE;;113140;;
2021-07-09 10:17:00.000;LEV;PKW;FORD;AN DER KEMPERWIESE;;113140;;
2021-07-09 10:14:00.000;ES;PKW;VW-VOLKSWAGEN;AN DER KEMPERWIESE;;113140;;
2021-07-09 10:14:00.000;K;PKW;MERCEDES;AN DER KEMPERWIESE;;113140;;
2021-07-09 10:11:00.000;HN;PKW;MINI;AN DER KEMPERWIESE;;113140;;
2021-07-09 10:11:00.000;DU;PKW;VW-VOLKSWAGEN;AN DER KEMPERWIESE;;113140;;
2021-07-09 10:02:00.000;K;PKW;BMW;DELLBRÜCKER HAUPTSTR.;82;113140;;
2021-07-09 10:02:00.000;K;PKW;VW-VOLKSWAGEN;DELLBRÜCKER HAUPTSTR.;95;113140;;
2021-07-09 09:12:00.000;BM;PKW;VW-VOLKSWAGEN;VON-DER-LEYEN-STR.;48;141312;;
2021-07-09 09:11:00.000;K;PKW;OPEL;VON-DER-LEYEN-STR.;56;113140;;
2021-07-09 09:05:00.000;K;PKW;VW-VOLKSWAGEN;DELLBRÜCKER HAUPTSTR.;111;141312;112042;
2021-07-01 18:17:00.000;K;PKW;MERCEDES;LENAUSTR.;;937221;;
2021-07-03 17:37:00.000;K;PKW;BMW;VEILCHENWEG;;927521;;
2021-07-05 12:18:00.000;K;PKW;FIAT;AGRIPPASTR.;;113140;;
2021-07-05 12:18:00.000;K;PKW;VW-VOLKSWAGEN;AGRIPPASTR.;87-93;113140;;
2021-07-01 09:55:00.000;K;PKW;BMW;PANTALEONSWALL;65-75;141322;;
2021-07-02 07:14:00.000;K;PKW;RENAULT;ZELTINGER STR.;9;112403;;
2021-07-02 07:20:00.000;BM;PKW;CITROEN;ZELTINGER STR.;3-7;112402;;
2021-07-02 12:53:00.000;K;PKW;RENAULT;BIBERSTR.;;141310;112050;
2021-07-02 12:40:00.000;K;PKW;FORD;SEVERINSWALL;;141310;;
2021-07-01 09:55:00.000;K;PKW;PORSCHE;PANTALEONSWALL;65-75;141322;;
2021-07-01 09:55:00.000;BM;PKW;VW-VOLKSWAGEN;PANTALEONSWALL;65-75;141322;;
2021-07-01 10:01:00.000;BM;PKW;VW-VOLKSWAGEN;NEUE WEYERSTR.;5;113140;;
2021-07-05 10:58:00.000;K;PKW;VW-VOLKSWAGEN;CÄCILIENKLOSTER;2-8;113142;;
2021-07-05 10:58:00.000;K;PKW;LAND-ROVER;CÄCILIENKLOSTER;2-8;113142;;
2021-07-05 10:58:00.000;K;PKW;FORD;CÄCILIENKLOSTER;2-8;113142;;
2021-07-05 10:58:00.000;K;PKW;LAND-ROVER;CÄCILIENKLOSTER;2-8;113142;;
2021-07-05 11:25:00.000;K;PKW;OPEL;CÄCILIENKLOSTER;2-8;113141;;
2021-07-04 16:19:00.000;K;PKW;RENAULT;MOSES-HESS-STR.;66;142278;;
2021-07-03 12:07:00.000;K;PKW;OPEL;APOSTELNKLOSTER;2;141313;;
2021-07-03 10:29:00.000;K;PKW;MERCEDES;AM HOF;;141106;;
2021-07-05 11:54:00.000;K;PKW;VW-VOLKSWAGEN;NEUKÖLLNER STR.;1;113140;;
2021-07-05 11:13:00.000;K;PKW;VW-VOLKSWAGEN;NEUKÖLLNER STR.;1;113141;;
2021-07-01 10:02:00.000;K;PKW;FORD;FRIEDRICHSTR.;12;113140;;
2021-07-01 08:55:00.000;BM;PKW;VW-VOLKSWAGEN;NEUE WEYERSTR.;;141322;;
2021-07-05 11:54:00.000;GÖ;PKW;MERCEDES;NEUKÖLLNER STR.;1;113140;;
2021-07-05 11:54:00.000;BN;PKW;MINI;NEUKÖLLNER STR.;1;113140;;
2021-07-05 07:40:00.000;K;PKW;SKODA;AM ALTENBERGER KREUZ;17;141314;;
2021-07-05 11:21:00.000;OP;PKW;FORD;SIEGBURGER STR.;351;113140;;
2021-07-05 11:10:00.000;K;PKW;AUDI;SIEGBURGER STR.;368;113140;;
2021-07-05 11:10:00.000;K;PKW;VW-VOLKSWAGEN;SIEGBURGER STR.;368;113140;;
2021-07-05 11:04:00.000;K;PKW;FORD;SIEGBURGER STR.;360;113140;;
2021-07-05 11:04:00.000;K;PKW;MERCEDES;SIEGBURGER STR.;364;113140;;
2021-07-05 10:46:00.000;K;PKW;CHEVROLET;SIEGBURGER STR.;358;113140;;
2021-07-05 10:31:00.000;K;PKW;SMART;POLLER KIRCHWEG;70-72;329119;;
2021-07-05 11:41:00.000;K;PKW;FORD;CÄCILIENKLOSTER;2-8;113141;;
2021-07-05 10:26:00.000;BN;PKW;MERCEDES;POLLER KIRCHWEG;;329113;;
2021-07-05 10:13:00.000;DN;PKW;VW-VOLKSWAGEN;ALFRED-SCHÜTTE-ALLEE;28;937221;;
2021-07-05 09:45:00.000;VS;PKW;DACIA;WEINGARTENGASSE;95;112402;;
2021-07-05 09:45:00.000;B;PKW;RENAULT;WEINGARTENGASSE;95;112402;;
2021-07-05 07:43:00.000;K;PKW;PEUGEOT;PASTOR-PAUL-MILDE-STR.;1;141312;;
2021-07-01 07:16:00.000;B;PKW;SMART;RATHENAUPLATZ;8;141245;;
2021-07-01 07:25:00.000;MIL;PKW;RENAULT;RATHENAUPLATZ;22;141322;;
2021-07-01 07:56:00.000;MK;PKW;VW-VOLKSWAGEN;LINDENSTR.;95;141302;141312;
2021-07-01 08:04:00.000;FS;PKW;MAZDA;DASSELSTR.;31;112402;;
2021-07-01 08:04:00.000;DO;PKW;OPEL;DASSELSTR.;1D;112402;;
2021-07-01 08:10:00.000;AW;PKW;VW-VOLKSWAGEN;DASSELSTR.;1A;141322;;
2021-07-01 08:15:00.000;GM;PKW;SEAT;MEISTER-GERHARD-STR.;;141312;;
