strasse;hausnummer;anzahl bussgelder
ELISABETH-BREUER-STR.;2;194
HERBERT-LIEBERTZ-WEG;;194
BUCHFORSTSTR.;31;194
BAYENSTR.;;194
RHEINGASSE;;193
KAROLINGERRING;4;193
ZEUGHAUSSTR.;;193
KUPFERGASSE;2;192
ROBERT-KOCH-STR.;10;192
MARKTSTR.;6;192
HOHENZOLLERNRING;46;191
KAISER-WILHELM-RING;23-25;191
HOHENZOLLERNRING;52;191
RIEHLER GÜRTEL;;191
NEUSSER STR.;278;191
HERBRANDSTR.;5;190
NEUENHÖFER ALLEE;;189
ÄUSSERE KANALSTR.;75C;189
NEUSSER STR.;216;189
GROSSE BRINKGASSE;;189
SÜLZBURGSTR.;;189
PIUSSTR.;;188
HERBRANDSTR.;;188
FRANZSTR.;;188
GUSTAV-CORDS-STR.;;187
KEMPENER STR.;31;187
BERGISCH GLADBACHER STR.;;186
ALTEBURGER STR.;101;186
GROSSE SANDKAUL;2;186
GÜRZENICHSTR.;34;186
WÖHLERSTR.;;186
STÜTTGERHOFWEG;;185
NEVEN-DU MONT-STR.;6;185
EICHSTR.;45;184
HASELNUSSWEG;30;183
CLARENBACHSTR.;;183
HANSEMANNSTR.;2A;183
BENESISSTR.;18;183
VORGEBIRGSWALL;;183
KAPITELSTR.;;182
KRONENGASSE;8;181
PETERSBERGSTR.;;181
KARL-KORN-STR.;;180
NUSSBAUMERSTR.;;180
HOCHSTADENSTR.;;180
FRÖBELSTR.;;180
FLEISCHMENGERGASSE;;180
MILTENBERGER STR.;;180
AN DER DREHSCHEIBE;7;179
KEMPENER STR.;44;179
FLORENZER STR.;14-18;179
GROSSE BRINKGASSE;2B;179
MERHEIMER PLATZ;;179
JAKOBSTR.;56-58;178
JÜNKERATHER STR.;;178
GUMMERSBACHER STR.;;178
SIEVERSSTR.;22;177
VENLOER STR.;254-260;176
FRIDOLINSTR.;;176
CLEVER STR.;13-15;175
THUMBSTR.;;175
ANDREASKLOSTER;;174
KASPARSTR.;47;174
CONSTANTINSTR.;95;174
DÜPPELSTR.;22A;173
STUPPSTR.;;173
EICHSTR.;50;172
KAISER-WILHELM-RING;17-21;172
KOPERNIKUSSTR.;;171
CONSTANTINSTR.;78;171
EVERHARDSTR.;59;171
PALMSTR.;34;171
ILTISSTR.;;171
SIEVERSSTR.;36;171
WERTHMANNSTR.;;170
NEUSSER STR.;93;170
PANTALEONSWALL;65-75;170
KASPARSTR.;;169
FRÖBELSTR.;2;169
MARSILSTEIN;6;169
KOMÖDIENSTR.;;169
LEONHARD-TIETZ-STR.;;169
GUDRUNSTR. RO;6;169
MYLIUSSTR.;;169
NEUSSER STR.;239;169
HAHNENSTR.;33;169
KREUTZERSTR.;5-9;169
NEUSSER STR.;237;169
NEUSSER STR.;206-208;169
BRÜDERSTR.;;169
LIEBIGSTR.;;168
MARKGRAFENSTR.;;168
HOHENZOLLERNRING;;168
PIPINSTR.;;168
ADOLF-FISCHER-STR.;;168
MARTINSTR.;;168
GEORGSPLATZ;;168
GEREONSTR.;25-29;167
VIETORSTR.;;167
KEPLERSTR.;1;166
NIEDERLÄNDER UFER;;165
APOSTELNSTR.;9-11;165
AN DEN DOMINIKANERN;11-27;165
LINDENSTR.;52;165
JUNKERSDORFER STR.;;165
WEIDENWEG;;165
THEODOR-HEUSS-RING;;164
WALLSTR.;97;164
KRONENGASSE;3;164
MARZELLENSTR.;;164
MARIENGARTENGASSE;3;163
HAHNENSTR.;14;163
RHEINSTEINSTR.;;162
HOHENSTAUFENRING;48-54;162
MILITÄRRINGSTR.;;162
STÜTTGENWEG;;162
THEODOR-HEUSS-RING;13-15;161
ADALBERTSTR.;;161
PFEILSTR.;;161
LUDWIG-GIES-STR.;1;161
HERBRANDSTR.;1;160
KASPARSTR.;1;160
NEUSSER STR.;218;160
NOGATSTR.;;160
AACHENER STR.;445-449;160
NEUSSER STR.;273;159
HAHNENSTR.;29-31;159
NEVEN-DU MONT-STR.;1A-3E;159
DEUTZER FREIHEIT;68;158
THIEBOLDSGASSE;;158
TRITTENHEIMER STR.;;157
STEINWEG;;157
VENLOER STR.;341;157
UBIERRING;21;157
MARTHASTR.;;157
AM HOF;50;157
JAKOB-KNEIP-STR.;;156
OLYMPIAWEG;;156
GÜRZENICHSTR.;30;156
WÖHLERSTR.;14;156
TIBERSTR.;;156
STAMMSTR.;;155
MITTELSTR.;3;155
MARKGRAFENSTR.;121;155
RÖMERGASSE;3;155
KOBURGER PLATZ;6;155
HOLWEIDER STR.;;155
BERLINER STR.;;154
AM SALZMAGAZIN;60-62;154
HOHENZOLLERNRING;48;153
ANKERSTR.;;153
AUF DEM BRAND;;153
HOHENZOLLERNRING;89-93;153
BRÜSSELER STR.;;153
ELSTERGASSE;;153
SACHSENRING;29-31;152
KEMPENER STR.;29;152
HOHENSTAUFENRING;38-40;152
MOLTKESTR.;27;152
THÜRMCHENSWALL;;152
UNIVERSITÄTSSTR.;24;152
THEODOR-HEUSS-RING;11;152
URBACHER WEG PO;;151
HERBIGSTR.;;151
DEUTZER FREIHEIT;103;151
GUTENBERGSTR.;;151
KOLPINGPLATZ;;151
OBENMARSPFORTEN;;151
CÄCILIENSTR.;48;150
EICHENDORFFSTR.;;150
BECHERGASSE;2-8;150
DEUTZER FREIHEIT;49;150
BALTHASARSTR.;18;150
SEVERINSTR.;;150
VOLKHOVENER WEG;;149
SCHÖNSTEINSTR.;11-23;149
LEYENDECKERSTR.;10;149
HÖHENBERGER RING;;149
HOHENZOLLERNRING;50;149
MAURITIUSSTEINWEG;;149
AM FLACHSROSTERWEG;;148
AUF DEM HUNNENRÜCKEN;3;148
RICHARTZSTR.;;148
SÜLZBURGSTR.;196;148
URSULAPLATZ;;148
VORGEBIRGSTR.;118;147
VORSTERSTR.;65A;147
HOHENSTAUFENRING;57A;147
DRUSUSGASSE;;147
ALSENSTR.;;147
CUSANUSSTR.;;147
AACHENER STR.;451;146
NEUMARKT;24;146
BRÜDERSTR.;17;146
BODESTR.;;146
STORMSTR.;;146
TURINER STR.;6;145
TILSITER WEG;3;145
ALARICHSTR.;;145
HOHENZOLLERNRING;44;145
BENNAUERSTR.;;145
GUDRUNSTR. RO;4;145
HOMBURGER STR.;;145
BLAUBACH;;145
LENTSTR.;;145
GILBACHSTR.;29-31;145
HERMANN-PÜNDER-STR.;3;144
FRIEDRICH-SCHMIDT-STR.;;144
BRÜCKENSTR.;;144
STEPRATHSTR.;;144
VORGEBIRGSTR.;;143
HOHENSTAUFENRING;72;143
KEMPENER STR.;26;143
HUHNSGASSE;12-14;143
AUF DEM STAHLSEIL;;143
GUDRUNSTR. RO;2;143
KRONENGASSE;9;143
KEMPENER STR.;145;142
RATHAUSSTR.;;142
LUNGENGASSE;35;142
BARBARASTR.;;142
LENAUSTR.;;142
GRAF-ADOLF-STR.;;142
OVERBECKSTR.;;142
NEUE LANGGASSE;;142
REMSCHEIDER STR.;;142
ENGGASSE;2;142
AM FAULBACH;;141
BALTHASARSTR.;29;141
AUF DEM BERLICH;1;141
NEUSSER STR.;224;141
FRANKFURTER STR.;12;141
KASPARSTR.;5;141
MARSPFORTENGASSE;5-7;141
WINTERBERGER STR.;;141
THEODOR-HEUSS-RING;19-21;141
SUBBELRATHER STR.;266;141
WEISSHAUSSTR.;;141
ZOLLSTOCKGÜRTEL;;141
VENLOER WALL;17;140
VORSTERSTR.;23;140
WERDERSTR.;;140
STUPPSTR.;22;140
BONNER STR. PO;;140
ROBERTSTR.;;140
APPELLHOFPLATZ;9;140
KENDENICHER STR.;;140
ROLSHOVER STR.;151;140
IM WIESCHEN;;140
RICHARTZSTR.;2-4;139
BURGHÖFCHEN;;139
ERNST-WILHELM-NAY-STR.;40;139
SIEBENGEBIRGSALLEE;;139
SPIESERGASSE;;139
ZUGWEG;48;139
WILHELMSTR.;87;138
SIMROCKSTR.;;138
ANNOSTR.;78;138
HEISTERBACHSTR.;;138
HOHENSTAUFENRING;43-45;138
OSTSTR.;11-13;138
LUSTHEIDER STR.;;138
GREMBERGER STR.;;137
DEUTZER FREIHEIT;90;137
SCHIRMERSTR.;;137
HÜLCHRATHER STR.;;137
DAGOBERTSTR.;3;137
BOCHUMER STR.;;136
EICHSTR.;52;136
ALTEBURGER STR.;16;136
THUSNELDASTR.;;136
WEIMARER STR.;;135
SIMARPLATZ;;135
ADALBERTSTR.;15;135
FRIESENWALL;27;135
AGRIPPASTR.;87-93;135
GRENGELER MAUSPFAD;183;135
HERZOGSTR.;;135
OSTSTR.;9-11;135
ANTONITERSTR.;14-16;135
NEUSSER STR.;100;134
KRUMMER BÜCHEL;;134
KEMPENER STR.;53-55;134
GRÜNEBERGSTR.;;134
MACHABÄERSTR.;;134
CÄCILIENKLOSTER;2-6;134
REITWEG;2-4;133
BRÜGELMANNSTR.;;133
HANSARING;63-67;133
SCHÖNHAUSER STR.;;133
ALTER STAMMHEIMER WEG;1;133
KREBSGASSE;;133
KEUPSTR.;;132
REISCHPLATZ;;132
APOSTELNKLOSTER;13/15;132
ERLANGER STR.;;132
PFARRER-OERMANN-PLATZ;;132
NEUMARKT;41-43;132
BUSCHGASSE;;132
GRAEFFSTR.;8;132
MANTEUFFELSTR.;;132
RICHMODSTR.;29;132
REITWEG;3;131
BERTHA-SANDER-STR.;57;131
EICHSTR.;;131
WILHELM-HOSSDORF-STR.;;131
UFERSTR. RO;;130
LINDENTHALGÜRTEL;;130
KAISER-WILHELM-RING;31;130
ERNST-WILHELM-NAY-STR.;42;130
JAKOBSTR.;58;130
HERZOGSTR.;32;129
BENESISSTR.;14/16;129
ENGELBERTSTR.;33-35;129
GUDRUNSTR. RO;;129
AN DER RECHTSCHULE;2;129
FRIESENWALL;1;129
RICHARTZSTR.;14-16;128
BENESISSTR.;22;128
BRESLAUER PLATZ;4;128
ATHENER RING;4;128
UCKERMARKSTR.;;128
SIEBACHSTR.;;128
UNTER KAHLENHAUSEN;;127
JOSEPHSKIRCHSTR.;;127
PERLENPFUHL;;127
GEREONSTR.;15-23;127
OSTMERHEIMER STR.;;127
GOTENRING;2;127
NEUSSER STR.;186;127
EISENMARKT;;127
HERMESGASSE;;127
MITTELSTR.;29;127
HASELNUSSWEG;34;127
AN DER MÜNZE;;127
DANZIGER STR. WE;;126
MÜNDELSTR.;;126
DÜSTEMICHSTR.;;126
GEREONSWALL;;126
HAMBURGER STR.;;126
SIEGBURGER STR.;368;126
EYTHSTR.;;125
NAGELSCHMIEDGASSE;;125
IM KLAPPERHOF;25-27;125
LOKOMOTIVSTR.;124;125
MANTEUFFELSTR.;9;125
KONRAD-ADENAUER-UFER;7;125
AUGUST-HORCH-STR.;;124
ALTER MÜHLENWEG;;124
BERTHA-SANDER-STR.;1;124
HASELNUSSWEG;36;124
IM FERKULUM;;124
BONNER STR.;19;124
KEMPENER STR.;79;124
HACKETÄUERSTR.;27;124
NEUSSER STR.;230;124
SIEGFRIEDSTR.;;124
ZÜLPICHER STR.;251;124
HOHENZOLLERNRING;56;123
HANSARING;40-50;123
BONNER WALL;17;123
OSTLANDSTR.;49;123
FRANZISKASTR.;1;123
MARKT;;123
BONNER STR.;20;123
GUSTAV-RADBRUCH-STR.;;122
ROLSHOVER STR.;;122
ARNSBERGER STR.;;122
SCHILLINGSROTTER STR.;;122
NEUSSER STR.;292-294;122
KARTÄUSERWALL;40;122
CHRISTIAN-GAU-STR.;26;122
MÖRSERGASSE;;121
BONNER STR.;30;121
REMIGIUSSTR.;21;121
GUSTAV-HEINEMANN-UFER;72-74;121
HERDERSTR.;;121
HOMARSTR.;10;121
BERTHA-SANDER-STR.;3;121
SEVERINSTR.;161-163;121
KRONENGASSE;21;120
NEPTUNSTR.;;120
KEMPENER STR.;27;120
IM FALKENHORST;10;120
EHRENSTR.;;120
APOSTELNSTR.;13;120
ALTEBURGER STR.;2;120
KAUTSCHUKSTR.;9;120
ISABELLENSTR.;4;120
HOHENSTAUFENRING;47-51;119
BARMER STR.;;119
SCHAAFENSTR.;27;119
MAGNUSSTR.;11;119
NEUSSER STR.;49;119
BOLZENGASSE;;119
EWALDISTR.;1;119
GRÜNER WEG;;119
SIEGBURGER STR.;349;119
THEODOR-HEUSS-RING;23;118
WILHELMSTR.;;118
SIEGBURGER STR.;355;118
THEODOR-HEUSS-RING;9;118
KAISER-WILHELM-RING;27-29;118
GRAEFFSTR.;10;118
AM SALZMAGAZIN;54;118
MERKERHOFSTR.;13;118
AM HUSHOLZ;;118
KARL-BERBUER-PLATZ;;118
KARDINAL-FRINGS-STR.;5;117
HAHNENSTR.;16-16A;117
RICHMODSTR.;;117
GRABENGASSE;11-13;117
BURGENLANDSTR.;;117
GUSTAV-RADBRUCH-STR.;4;117
SIEVERSSTR.;9;117
VENLOER STR.;401;116
SIEGBURGER STR.;308/310;116
DEUTZER FREIHEIT;114;116
KEMPENER STR.;141;116
NEUSSER STR.;336-338;116
ARNULFSTR.;14;116
APPELLHOFPLATZ;21;116
DOMSTR.;;116
LEONHARD-TIETZ-STR.;8;116
RATHENAUPLATZ;23;116
CHRISTIAN-SCHULT-STR.;;116
LÜDERICHSTR.;42;116
KARLSTR. PO;24-26;116
KALKER HAUPTSTR.;148;116
KREFELDER WALL;2;115
DEUTZER FREIHEIT;72-76;115
SCHÖNHAUSER STR.;3;115
CHRISTINASTR.;62-64;115
NEUSSER STR.;24;115
FRIESENWALL;32/36;115
DÜSSELDORFER STR.;;115
SPORERGASSE;;115
TEMPELSTR.;;114
STAMMSTR.;99;114
WALLSTR.;;114
FRITZ-VOIGT-STR.;;114
BAYREUTHER STR.;;114
NEUSSER STR.;308;114
PARKGÜRTEL;;114
ARNULFSTR.;;114
MERKENSSTR.;;114
RATHENAUPLATZ;7;114
MATERNUSSTR.;27-31;114
HERMANN-KOLB-STR.;10;114
KONRAD-ADENAUER-UFER;11;114
NEUSSER STR.;397-399;114
KÄMMERGASSE;;113
FRECHENER WEG;2;113
ANTONITERSTR.;;113
GOTENRING;6;113
REGENTENSTR.;;113
PETER-BAUM-WEG;;113
KALKER HAUPTSTR.;181;113
LUDWIG-GIES-STR.;;113
NEUSSER STR.;5-7;113
HEIDEMANNSTR.;;113
VENLOER STR.;668;113
WEILERWEG;;113
UNIVERSITÄTSSTR.;;112
VORSTERSTR.;25;112
DANZIGER STR. WE;19;112
NEUSSER STR.;108;112
KOLPINGPLATZ;5-11;112
NIDEGGER STR.;;112
MOLTKESTR.;73-75;112
KEMPENER STR.;93;112
AACHENER STR.;555-557;112
OSTLANDSTR.;30;112
ROTHENBURGER STR.;1;112
GRASEGGERSTR.;91;112
ADAM-STEGERWALD-STR.;;112
FLEISCHMENGERGASSE;57;112
FLORENZER STR.;2-6;112
HOHENZOLLERNRING;30;112
PETERSTR.;3;111
BORNHEIMER STR.;2;111
OSKAR-JÄGER-STR.;147;111
LUKASSTR.;70;111
APOSTELNSTR.;4;111
ROBERT-KOCH-STR.;32;111
HOHENSTAUFENRING;59;111
GEREONSMÜHLENGASSE;26;111
WILHELMSTR. RO;74;111
WEISSHAUSSTR.;30;111
SUEVENSTR.;;111
WALDECKER STR.;17;110
PETER-WELTER-PLATZ;2;110
AM HOF;30;110
MATERNUSSTR. RO;28;110
KAISERSTR.;;110
KREUZBLUMENWEG;11;110
HOLLWEGHSTR.;;110
KOMÖDIENSTR.;19;109
ANNOSTR.;37A;109
AUERBACHPLATZ;3-5;109
KRIELER STR.;100;109
HERBRANDSTR.;3;109
GERTRUDENSTR.;24-28;109
IN DER HÖHLE;;109
GOLTSTEINSTR.;120;109
DEUTZER FREIHEIT;102;109
NIEHLER STR.;72;109
RITTERSTR.;17;108
KOMÖDIENSTR.;37;108
MITTELSTR.;12-14;108
AM BOTANISCHEN GARTEN;1;108
SAALFELDER STR.;8;108
HEUMARKT;;108
EICHSTR.;8;108
LEONHARD-TIETZ-STR.;6;108
BUCHHEIMER WEG;;108
OTTO-BAYER-STR.;;108
BRÜCKENAUER STR.;;108
KEMPENER STR.;46;108
KOMÖDIENSTR.;41;108
VENLOER STR.;248;108
VINCENZSTR.;27;108
ZELTINGER STR.;1;107
MYLIUSSTR.;24;107
SALZBURGER HOF;;107
KLETTENBERGGÜRTEL;59;107
CHRISTIAN-SÜNNER-STR.;;107
LUKASSTR.;;107
DREIKÖNIGENSTR.;;107
POSTSTR.;51;107
BAUDRIPLATZ;;107
ENGELBERTSTR.;1;107
DEUTZER FREIHEIT;106;107
RICHARD-WAGNER-STR.;25;107
MÜNSTEREIFELER PLATZ;;107
PAULISTR.;;106
KONRAD-ADENAUER-UFER;5;106
AN DER DREHSCHEIBE;3;106
JOSEF-HAUBRICH-HOF;;106
MATERNUSSTR.;;106
RADERBERGER STR.;182;106
SACHSENRING;2-4;106
GYRHOFSTR.;8C;106
HOHENSTAUFENRING;58;106
SINGHOFENER STR.;;106
VON-SANDT-PLATZ;;106
SUDERMANSTR.;10;105
TAKUSTR.;;105
SPORERGASSE;2A;105
ZUGWEG;1;105
THEBÄERSTR.;1-7;105
PIPINSTR.;16;105
AUGUSTASTR. RO;;105
FRANZ-KREUTER-STR.;;105
BUCHFORSTSTR.;117;105
ORANJEHOFSTR.;;105
CÄCILIENSTR.;42-44;105
GLASHÜTTENSTR.;;105
DÖBRABERGSTR.;;105
KUPFERGASSE PO;;105
BACHEMER STR.;123;105
PALMSTR.;33;104
ANNOSTR.;;104
ROISDORFER STR.;;104
OSTLANDSTR.;;104
REMSCHEIDER STR.;88;104
JAKOBSTR.;4;104
DARMSTÄDTER STR.;2A;104
HEINRICH-BILLSTEIN-STR.;11;104
RADERBERGGÜRTEL;;104
BARDENHEUERSTR.;9;104
HEINRICH-STEVENS-WEG;;104
INNERE KANALSTR.;214;104
FRITZ-FIGGE-STR.;1;104
SÖMMERINGSTR.;9;104
SONDERBURGER STR.;;104
TEUTOBURGER STR.;;104
SÜLZBURGSTR.;174;103
WOLFSSTR.;17-19;103
GÖRRESSTR.;;103
AACHENER STR.;497-501;103
KOLUMBASTR.;8;103
GOTTFRIED-HAGEN-STR.;40;103
AACHENER STR.;29;103
DANZIGER STR. WE;12;103
MOLTKESTR.;71;103
NEUSSER STR.;453;103
REMIGIUSSTR.;;103
ENGELBERTSTR.;;103
AM RINKENPFUHL;;103
CRANACHSTR.;;103
KAPELLENSTR.;13;103
HUMMELSBERGSTR.;;102
AMSTERDAMER STR.;;102
QUIRINSTR.;;102
BRÜDERSTR.;9;102
DILLENBURGER STR.;25;102
GRÜNSTR.;;102
OBERLÄNDER WALL;;102
