strasse;hausnummer;anzahl bussgelder
LIVERPOOLER PLATZ;;4734
KENNEDY-UFER;;3377
CHARLES-DE-GAULLE-PLATZ;;3127
VORSTERSTR.;;2436
HELENENWALLSTR.;;1862
SCHMALBEINSTR.;;1692
OVERSBURGSTR.;;1685
NEVEN-DU MONT-STR.;;1594
OSTSTR.;;1545
TURKUPLATZ;;1491
NIEHLER GÜRTEL;;1467
AUENWEG;;1445
AUERBACHPLATZ;;1362
MARSPFORTENGASSE;;1341
AM SALZMAGAZIN;;1271
JAN-WELLEM-STR.;;1244
HAHNENSTR.;6;1206
FRIESENWALL;;1145
VOLKSGARTENSTR.;;1086
REICHENSPERGERPLATZ;;1025
AN DER RECHTSCHULE;;1015
ZÜLPICHER STR.;;995
FLORENZER STR.;32;977
HAHNENSTR.;16;951
BARBARASTR. RO;;918
REICHENSPERGERPLATZ;1;886
OPLADENER STR.;;849
BENESISSTR.;;832
FRIEDRICHSTR.;;821
AM LEYSTAPEL;;788
HAHNENSTR.;2;754
JOSEPHSTR.;;732
HAUPTSTR. RO;;711
HANSARING;;684
AACHENER STR.;;683
PHILIPP-REIS-STR.;;680
BERRENRATHER STR.;;675
NEUSSER STR.;;670
GROSSE SANDKAUL;;665
RIEHLER STR.;;661
MITTELSTR.;32;656
DEUTZER FREIHEIT;;655
BRÜGELMANNSTR.;16-18;648
RHEINPARKWEG;;646
HAHNENSTR.;;637
HOLWEIDER STR.;4-6;631
NEUERBURGSTR.;;627
HANS-CARL-NIPPERDEY-STR.;;617
REITWEG;;609
KIRCHSTR. RO;;609
FUCHSSTR.;;608
CÄCILIENKLOSTER;2-10;588
BEETHOVENSTR.;5-13;578
HAHNENSTR.;8;565
NEUKÖLLNER STR.;;557
KARTÄUSERWALL;;557
CONSTANTINSTR.;;557
WEINSBERGSTR.;;552
ALTEBURGER STR.;;549
BUCHHEIMER STR.;;548
FLORENZER STR.;;547
OSKAR-JÄGER-STR.;;544
PETER-WELTER-PLATZ;;532
MAGNUSSTR.;;525
AM ALTEN UFER;12;515
APPELLHOFPLATZ;;507
NEUSSER STR.;285;506
APOSTELNKLOSTER;;502
HAHNENSTR.;18;501
CLAUDIUSSTR.;;499
KRONENGASSE;;498
HITDORFER FÄHRWEG;;496
PAUL-SCHALLÜCK-STR.;;485
MAURITIUSWALL;;485
MAINZER STR.;;481
STOLKGASSE;;476
SIEGBURGER STR.;371;468
GENOVEVASTR.;;467
CLEVER STR.;;451
BONNER WALL;;448
AN DER KEMPERWIESE;;447
URBANSTR.;;436
GLADBACHER WALL;2A;433
FRIESENWALL;19;424
MAYBACHSTR.;;422
MAURITIUSKIRCHPLATZ;;420
AM ALTEN UFER;;418
AGRIPPASTR.;;418
OSLOER STR.;6;417
AM MOLENKOPF;;415
ZÜLPICHER WALL;;411
MERCATORSTR.;;403
NIEHLER KIRCHWEG;;401
KONRAD-ADENAUER-UFER;;400
AM MARKTPLATZ;;397
BARTHELSTR.;;392
FLORENZER STR.;20;386
EITORFER STR.;;384
ULRICHGASSE;;382
NEUKÖLLNER STR.;1;378
CÄCILIENKLOSTER;;376
ROMAN-KÜHNEL-WEG;;375
ACHTERSTR.;;374
CÄCILIENSTR.;;370
BUNZLAUER STR. WE;5;370
KEMPENER STR.;;370
LOTHRINGER STR.;;368
MOMMSENSTR.;;368
DEUTZER FREIHEIT;84-86;365
VENLOER WALL;;363
ZÜLPICHER STR.;49;356
ANTONSGASSE;1;356
MÜHLENSTR.;;352
BALTHASARSTR.;31;352
GOTENRING;;349
APOSTELNKLOSTER;17-19;347
ROBERT-KOCH-STR.;8;346
FREIHERR-VOM-STEIN-STR.;;345
GROSSER GRIECHENMARKT;;345
MARKMANNSGASSE;;342
HÜTTENSTR.;;340
SIEGBURGER STR.;;340
JAHNSTR.;;336
BRABANTER STR.;;335
SCHÖNSTEINSTR.;;335
ROBERT-KOCH-STR.;;324
BRIEDELER STR.;;323
VOGELSANGER STR.;;322
LOCHNERSTR.;1;319
VENLOER STR.;;315
STEINWEG;12-14;312
RADERBERGER STR.;;310
BALTHASARSTR.;;308
OSLOER STR.;;307
CLAUDIUSSTR.;1;307
EMIL-SCHREITERER-PLATZ;;305
JOSEFSTR.;20;305
SUBBELRATHER STR.;;305
ROLANDSTR.;;304
FRIEDRICH-KARL-STR.;;299
WALDSTR.;3;297
VITALISSTR.;;296
NEUSSER LANDSTR.;;296
KUENSTR.;;294
MÜNSTEREIFELER STR.;;294
LEYENDECKERSTR.;;293
HELIOSSTR.;;293
WEYERSTR.;;293
FRIESENWALL;13-17;290
GRAEFFSTR.;41;287
DEUTZ-KALKER STR.;;284
BEETHOVENSTR.;10;283
LUXEMBURGER STR.;116;283
JOHANN-CLASSEN-STR.;;283
NIEHLER STR.;;282
MERHEIMER STR.;;280
RATHENAUPLATZ;;279
GERNSHEIMER STR.;;278
SIEGBURGER STR.;363;277
BACHEMER STR.;;276
INNERE KANALSTR.;;276
NEUSSER STR.;222;274
KASEMATTENSTR.;;273
KREUTZERSTR.;;272
GOLTSTEINSTR.;;271
NEUSSER STR.;284-286;270
HOHENSTAUFENRING;62;269
SCHMALBEINSTR.;5-7;268
MOLTKESTR.;;268
WERKSTATTSTR.;;268
FROHNGASSE;;267
MITTELSTR.;;267
BRIGITTENGÄSSCHEN;;266
NEUSSER STR.;220;265
TRAJANSTR.;;265
STEINWEG;4;263
TURINER STR.;;263
WAISENHAUSGASSE;;263
FRANKFURTER STR.;;262
NEUSSER STR.;260;262
BUTZWEILERHOFALLEE;;262
KREFELDER WALL;;262
IM SIONSTAL;;262
BONNER STR.;;256
KARTÄUSERHOF;;256
HAUPTSTR. PO;;255
SEVERINSWALL;;255
AUF DER RUHR;2;254
KIERBERGER STR.;;254
AN DER FLORA;;253
BRABANTER STR.;9;253
ERNST-WILHELM-NAY-STR.;;253
SÖMMERINGSTR.;;253
ZUGWEG;40;251
NEUSSER STR.;280;251
LUISE-STRAUSS-ERNST-STR.;;251
HASELNUSSWEG;32;250
BRABANTER STR.;23;250
ALTER STAMMHEIMER WEG;;249
GOTENRING;10;249
GRAEFFSTR.;32;249
FRIEDENSSTR. PO;;248
NEUERBURGSTR.;15;248
JOHANNISSTR.;;248
LUDOLF-CAMPHAUSEN-STR.;;248
AM TRUTZENBERG;;246
HERMANN-PÜNDER-STR.;;246
BRÜDERSTR.;3;246
HOHENZOLLERNRING;57;245
GRAEFFSTR.;;244
BUCHFORSTSTR.;;243
LUXEMBURGER STR.;;242
FLORENZER STR.;8-12;242
REICHENSPERGERPLATZ;1A;242
KALKER HAUPTSTR.;;242
HELIOSSTR.;2;241
AN DEN GELENKBOGENHALLEN;;239
KARTÄUSERGASSE;;239
HUMBOLDTSTR.;26;237
SAUERLANDSTR.;;237
AN DEN DOMINIKANERN;;236
DEUTZER FREIHEIT;77-79;236
DAGOBERTSTR.;;236
DRUSUSGASSE;7-11;236
WEYERTAL;;236
GOTTESWEG;;235
BISCHOFSGARTENSTR.;;234
WILHELMSTR.;85;234
MARIENSTR.;;233
PALMSTR.;;232
BEETHOVENSTR.;;232
SIEVERSSTR.;37-41;232
OSLOER STR.;3;231
NEUSSER STR.;266-276;231
NEUSSER WALL;;231
PETERSTR.;29;231
APOSTELNKLOSTER;17/19;230
NEUSSER STR.;258;229
LUXEMBURGER WALL;15;229
HERWARTHSTR.;;227
GLEUELER STR.;;227
HOHENSTAUFENRING;66-70;226
OSKAR-JÄGER-STR.;1;226
KALSCHEURER WEG;;226
SACHSENBERGSTR.;;225
DEUTZER FREIHEIT;88;224
HOHENZOLLERNRING;72;223
NEUSSER STR.;255;222
BRABANTER STR.;55;221
KYOTOSTR.;;220
GUSTAVSTR.;56;219
METZER STR.;;218
EVERHARDSTR.;;216
OLPENER STR.;;216
NEUSSER STR.;421;215
JAKOBSTR.;;214
VOGELSANGER STR.;203;214
KLEINGEDANKSTR.;;213
MAGNUSSTR.;13;212
KALK-MÜLHEIMER STR.;;212
MENGELBERGSTR.;;212
RÖMERGASSE;5;212
PANTALEONSMÜHLENGASSE;;211
BENESISSTR.;20;210
LOKOMOTIVSTR.;8;210
GOTENRING;4;210
GRONAUER STR.;53;209
CASTELLAUNER STR.;;209
BUNZLAUER STR. WE;3;208
GOFFINEWEG;;208
HASELNUSSWEG;38;207
DEUTZER FREIHEIT;70;207
LEONHARD-TIETZ-STR.;3;207
BUNZLAUER STR. WE;2-4;207
HERZOGSTR.;42;207
NEUSSER STR.;20;206
DRUSUSGASSE;1-5;206
HOHENZOLLERNRING;54;206
FLORASTR.;;205
NEVEN-DU MONT-STR.;14;205
RÖMERGASSE;;205
KARDINAL-FRINGS-STR.;7;204
AUERBACHPLATZ;1;204
HASELNUSSWEG;;203
KAMEKESTR.;12;202
SPICHERNSTR.;;202
WILHELMSTR.;81;202
EINTRACHTSTR.;2;201
SCHAAFENSTR.;;201
WALLSTR.;95;200
SIEMENSSTR.;;200
PANTALEONSWALL;;199
KAPELLENSTR.;52;198
NIKOLAUSSTR.;;197
AUF DER RUHR;;197
LEYENDECKERSTR.;75;197
JOSEPH-STELZMANN-STR.;;196
HERMANN-PÜNDER-STR.;1;196
ZÖRGIEBELSTR.;;196
APOSTELNKLOSTER;13-15;195
BREUERSTR.;;195
