strasse;hausnummer;anzahl bussgelder
STUPPSTR.;4;74
MARSILIUSSTR.;28;74
SÜLZBURGSTR.;25;74
SÜLZBURGSTR.;74;74
REISCHPLATZ;2D;74
ZUGWEG;42;74
ZOLLSTOCKSWEG;26;74
ZIETENSTR.;12;74
TAUNUSSTR.;15;74
MOZARTSTR.;32-36;74
THEODOR-HEUSS-RING;58;74
PFEILSTR.;29;74
VON-SPARR-STR.;19;74
VIETORSTR.;6;74
VENLOER STR.;262;74
VENLOER STR.;208;74
UBIERRING;15;74
PLANKGASSE;6-8;73
PLATENSTR.;48;73
SÜLZBURGSTR.;33-35;73
UCKERMARKSTR.;25;73
UFERSTR.;;73
MAURITIUSSTEINWEG;3;73
MAUENHEIMER STR.;;73
REGENTENSTR.;53;73
VENLOER STR.;225;73
NEUSSER STR.;13;73
TENKTERERSTR.;5;73
MOHRENSTR.;33;73
SCHÖNSTEINSTR.;7-9;73
PIPINSTR.;14;73
ROONSTR.;9;73
MYLIUSSTR.;1;73
WERKSTATTSTR.;60;73
HAUPTSTR. RO;60;73
GERTRUDENSTR.;22;73
KASERNENSTR.;7;73
HANSARING;88;73
AUF DEM BERLICH;;73
HANSARING;11;73
LOKOMOTIVSTR.;120;73
BERNHARD-FEILCHENFELD-STR;;73
LUXEMBURGER STR.;277;73
HOLZMARKT;75;73
BACHEMSTR.;14;73
GRAFENWERTHSTR.;;73
BONNER STR.;50;73
BONNER STR.;78;73
ANDREAESTR.;9;73
AM TRUTZENBERG;3;73
JÜNKERATHER STR.;4;73
HOHENSTAUFENRING;56;73
DELLBRÜCKER HAUPTSTR.;135;73
LEIBLPLATZ;5;73
ADAM-STEGERWALD-STR.;29;72
HILDEBOLDPLATZ;23-25;72
BONNER WALL;19;72
CUSTODISSTR.;16;72
KONRAD-ADENAUER-UFER;5-7;72
FOLLERSTR.;82-84;72
DÜRENER STR.;83;72
EINTRACHTSTR.;2A;72
GOTENRING;41;72
LÜBECKER STR. WE;19;72
BACHEMER LANDSTR.;;72
ANNOSTR.;80;72
KALKER HAUPTSTR.;172-174;72
CONSTANTINSTR.;84;72
KRÖVER STR.;18;72
KITSCHBURGER STR.;243;72
BARBAROSSAPLATZ;4A;72
KLEINE SPITZENGASSE;;72
LÜTZOWSTR.;41;72
DEUTZ-KALKER STR.;142;72
KALKER HAUPTSTR.;128;72
KALKER HAUPTSTR.;62;72
DELLBRÜCKER HAUPTSTR.;95;72
EHRENSTR.;23;72
LUKASSTR.;6;72
GREVENSTR.;;72
VENLOER STR.;210;72
NEUSSER WALL;36;72
MOSES-HESS-STR.;66;72
THEODOR-HEUSS-RING;26;72
WERTHMANNSTR.;34;72
ZÜLPICHER STR.;292;72
WICHHEIMER STR.;1;72
ROTHENBURGER STR.;;72
WÖRTHSTR.;1-3;72
STAMMSTR.;69;72
MEROWINGERSTR.;39;72
PLANTAGENSTR.;;72
MAURITIUSWALL;1;72
SOLINGER STR. PO;;72
THESSALONIKI-ALLEE;;72
SEDANSTR.;31-33;72
NEUSSER STR.;372;72
SIEGBURGER STR.;153;72
VENLOER STR.;497;72
VENLOER STR.;433;72
STOCKHOLMER ALLEE;29;72
RHEINGASSE;8;72
SIEGBURGER STR.;105-109;72
NAUMANNSTR.;6;72
VENLOER STR.;259;72
VOGESENSTR.;13;71
VENLOER STR.;361;71
VEREINSSTR.;11;71
NEISSESTR.;;71
MAYBACHSTR.;116;71
NEUSSER STR.;10-12;71
WERKSTATTSTR.;3A;71
RAMBOUXSTR.;;71
ZÜNDORFER STR.;;71
WEINSBERGSTR.;142;71
TÜRNICHER STR.;32;71
THEODOR-HEUSS-RING;22;71
NEUHÖFFERSTR.;26;71
PFÄLZER STR.;30-34;71
REMSCHEIDER STR.;28;71
ST.-APERN-STR.;44/46;71
NEUSSER STR.;207;71
KAROLINGERRING;23;71
CLOSTERMANNSTR.;10;71
CHRISTIANSTR.;;71
ALFRED-SCHÜTTE-ALLEE;156;71
EINTRACHTSTR.;110;71
DÜPPELSTR.;37;71
KALKER HAUPTSTR.;102-104;71
AM WALZWERK;8;71
DÜRENER STR.;220-222;71
BELFORTSTR.;;71
LEYENDECKERSTR.;115;71
BACHEMER STR.;138;71
DÜRENER STR.;361;71
HORNSTR.;92-94;71
HAUPTSTR. RO;41;71
EIGELSTEIN;51;71
KIESKAULERWEG;;71
KAPUZINERSTR.;;71
BURGMAUER;14;71
LUDWIG-QUIDDE-PLATZ;;71
FRANKFURTER STR.;58;71
LEONHARD-TIETZ-STR.;10;71
HÖNINGER WEG;174;71
GOSWIN-PETER-GATH-STR.;;71
LINDENBORNSTR.;11;71
CORKSTR.;25;71
FRIEDRICHSTR. PO;4-6;70
GLEIWITZER STR.;;70
HABSBURGERRING;;70
AACHENER STR.;35;70
AQUINOSTR.;14;70
ERNST-WILHELM-NAY-STR.;1;70
BRÜSSELER STR.;77;70
GARTHESTR.;;70
GUNTHERSTR. PO;;70
FRANZSTR.;33;70
JEAN-JÜLICH-WEG;;70
GOLTSTEINSTR.;20;70
ERFURTER STR.;;70
AM FLACHSROSTERWEG;14;70
DÜRENER STR.;132-138;70
GERTRUDENSTR.;;70
KULMBACHER STR.;;70
FITZMAURICESTRASSE;;70
GRAUDENZSTR.;10;70
GLADBACHER STR.;30;70
KALKER HAUPTSTR.;84;70
BACHSTR.;31;70
ADAM-STEGERWALD-STR.;19;70
CRANACHSTR.;6;70
ALPENROSENWEG;1;70
HELENENSTR.;11;70
BONNER STR.;42;70
LINDENBURGER ALLEE;24-26;70
BARCELONA-ALLEE;4;70
AUGUSTASTR.;;70
HAMBURGER STR.;19;70
MAINZER STR.;3;70
INNERE KANALSTR.;200;70
SÜLZGÜRTEL;30;70
NIEHLER STR.;96-98;70
VENLOER STR.;237;70
WILHELM-MAUSER-STR.;;70
STÜRMERSTR.;6;70
SEVERINSTR.;71-73;70
RHONESTR.;3;70
SCHILLSTR.;2;70
RUDOLF-CLAUSIUS-STR.;;70
SPORERGASSE;7;70
MARZELLENSTR.;21;70
MAURITIUSWALL;13;70
WEISSENBURGSTR.;66;70
MATERNUSSTR. RO;;70
ROBERT-KOCH-STR.;34;70
TRIFELSSTR.;2;70
NEUSSER STR.;198-200;70
POLLER KIRCHWEG;106-116;70
MERGENTHEIMER STR.;;70
SEYENGASSE;;70
SCHILDERGASSE;;70
SÖMMERINGSTR.;12;70
WALLSTR.;149;70
WALLSTR.;128;70
ROONSTR.;12;70
WERKSTATTSTR.;64;69
SCHEIBENSTR.;;69
VENLOER STR.;430;69
MÜNCHENER STR.;21;69
THEODOR-HEUSS-RING;10;69
STADTWALDGÜRTEL;81-83;69
RICHARD-STRAUSS-STR.;2;69
MARSILSTEIN;4;69
SCHADOWSTR.;55;69
STALLAGSBERGWEG;2;69
SEDANSTR.;13-17;69
PANTALEONSWALL;50;69
STAMMHEIMER HAUPTSTR.;15;69
SEVERINSTR.;179;69
BODINUSSTR.;;69
BERNHARD-LETTERHAUS-STR.;40;69
BLÜCHERSTR. RO;1;69
KOBURGER STR.;;69
LUDOLF-CAMPHAUSEN-STR.;18;69
BRAHMSSTR.;15;69
MAINZER STR.;36;69
AACHENER STR.;495;69
GRÜNEBERGSTR.;11;69
ABENDROTHSTR.;7;69
INNERE KANALSTR.;65;69
KALKER HAUPTSTR.;186;69
GEMÜNDER STR.;14;69
AUF DEM HUNNENRÜCKEN;5;69
ARNDTSTR. WE;;69
HUMBOLDTSTR.;30;69
HEIDELBERGER STR.;4;69
ANDREAS-HERMES-STR.;3;69
CUSTODISSTR.;18;69
HÖNINGER WEG;182;69
KOMÖDIENSTR.;2;69
GOTENRING;19;69
KITSCHBURGER STR.;228;69
AM JUSTIZZENTRUM;;69
GOCHER STR.;45;69
KEMPENER STR.;75;69
LUSTHEIDER STR.;46;69
BISMARCKSTR.;25;69
ALBERMANNSTR.;;69
JOSEPH-STELZMANN-STR.;54;69
KITSCHBURGER STR.;226;68
HAUPTSTR. RO;49-51;68
JAHNSTR. PO;;68
BERTHA-SANDER-STR.;20;68
BERTHA-BENZ-KARREE;157;68
HILDEBOLDPLATZ;13;68
LUXEMBURGER STR.;185;68
GEIERSBERGSTR.;;68
BONNER STR.;17;68
HANS-SCHULTEN-STR.;;68
GOTENRING;7;68
HASELNUSSWEG;1;68
BRUCKNERSTR.;;68
BONNER STR.;60;68
FLANDRISCHE STR.;12-14;68
GUILLEAUMESTR.;;68
FRITZ-REUTER-STR.;;68
BISMARCKSTR.;44;68
LOCHNERSTR.;;68
DECKSTEINER STR.;;68
HÜLTZSTR.;;68
KUPFERGASSE;14;68
KEPLERSTR.;12;68
NIEHLER STR.;242-248;68
ZEUGHAUSSTR.;2-8;68
ROBERT-KOCH-STR.;36;68
NORBERTSTR.;;68
ULITZKASTR.;2;68
STADTWALDGÜRTEL;79;68
STADTWALDGÜRTEL;13;68
MOLLWITZSTR.;1-3;68
ROBERT-SCHUMAN-STR.;2-4;68
URSULAPLATZ;24;68
MOLTKESTR.;133;68
VENLOER STR.;239 A;68
MARIENPLATZ;14;68
SEVERINSMÜHLENGASSE;;68
MERHEIMER STR.;225;68
PETERSTR.;21;68
SERVATIUSSTR.;69;68
ROLSHOVER STR.;153;68
NIBELUNGENSTR. PO;;68
PETER-STÜHLEN-STR.;86;68
REMIGIUSSTR.;40;68
SCHNURGASSE;74;68
NEUSSER STR.;59;68
SCHLEIDENER STR.;1;68
NEUSSER STR.;400-406;68
MAUENHEIMER STR.;75;68
ROTHEHAUSSTR.;1;68
WERTHMANNSTR.;20;68
TEMPELSTR.;33;68
MELATENGÜRTEL;70;68
NEUSSER STR.;278-280;68
SUBBELRATHER STR.;131;68
VON-KETTELER-STR.;;67
WIETHASESTR.;;67
THEODOR-HEUSS-RING;1;67
SCHAEVENSTR.;1;67
VELEDASTR.;;67
MÜLHEIMER FREIHEIT;;67
SUEVENSTR.;16;67
RICHMODSTR.;27;67
MENGELBERGSTR.;3-11;67
NEUSSER STR. PO;;67
ZECHENSTR.;10;67
UNIVERSITÄTSSTR.;41;67
THEODOR-HEUSS-RING;18;67
ZÜLPICHER STR.;313;67
VON-DER-LEYEN-STR.;56;67
VON-GABLENZ-STR.;;67
ZÜLPICHER STR.;298;67
WORMSER STR.;21;67
WORMSER STR.;27;67
WALDKAUZWEG;2;67
SCHÖNHAUSER STR.;10-16;67
ZEUGHAUSSTR.;2-10;67
JOSEPHSKIRCHSTR.;58;67
BAHNHOFSTR. PO;2;67
BERLINER STR.;59;67
KAMPGASSE;;67
KAUTSCHUKSTR.;7;67
KALKER HAUPTSTR.;183;67
HEINRICH-BRÜNING-STR.;10;67
LAUBINGER WEG;;67
BONNER STR.;58;67
CHRISTOPHSTR.;43;67
ELOGIUSPLATZ;;67
AQUINOSTR.;31;67
BLÜCHERSTR.;15;67
GUDRUNSTR. RO;3;67
BÖCKINGSTR.;;67
LÜTZOWSTR.;23;67
LAURENZ-KIESGEN-STR.;65;67
ELSASSSTR.;36;67
KLINGELPÜTZ;22-24;67
KASERNENSTR.;15;67
ANTWERPENER STR.;;67
AACHENER STR.;4;67
BENDORFER WEG;12;67
GYRHOFSTR.;14;67
DELLBRÜCKER HAUPTSTR.;90;67
KUENSTR.;42;67
BACHEMER STR.;121;67
BRUNHILDENWEG;;67
BENDORFER WEG;6;67
HÜTTENSTR.;6;67
FRIEDRICHSHAFER STR.;1;67
DAUNER STR.;;67
AM VORGEBIRGSTOR;;66
BUNZLAUER STR. WE;1;66
GEIBELSTR.;;66
ADOLPHSTR.;36;66
BRABANTER STR.;8;66
DREIKÖNIGENSTR.;50;66
AUF DEM BERLICH;9;66
LENAUSTR.;9;66
KAUTSCHUKSTRASSE;9;66
HERTHASTR.;38;66
GRADITZER STR.;62;66
JAKOBSTR.;8;66
KAISER-WILHELM-RING;11;66
ALTEBURGER PLATZ;;66
LORELEYSTR.;;66
LUXEMBURGER STR.;199;66
KAISER-WILHELM-RING;;66
GENOVEVASTR.;69;66
FRANKFURTER STR.;293;66
FRIEDRICH-SCHMIDT-STR.;40A;66
JOSEPHSTR.;3;66
BONNER STR.;76;66
DECKSTEINER STR.;20;66
LIEBIGSTR.;171;66
DARMSTÄDTER STR.;;66
KLINGELPÜTZ;62-64;66
KÄTHE-SCHLECHTER-STR.;;66
JAKOBSTR.;2-4;66
ADAMSSTR.;1A;66
BONNER STR.;27;66
LUXEMBURGER STR.;251;66
GRIMMELSHAUSENSTR.;;66
BERNHARD-FEILCHENFELD-STR;9;66
BERRENRATHER STR.;157;66
AM ALTEN POSTHOF;4-6;66
DOMSTR.;49-53;66
AN DER MALZMÜHLE;;66
FOLLERSTR.;87-89;66
KALKER HAUPTSTR.;192;66
CONSTANTINSTR.;90-92;66
STAMMHEIMER STR.;86;66
MOSES-HESS-STR.;59;66
OSLOER STR.;4;66
MARSILSTEIN;27;66
VON-WERTH-STR.;15;66
NEUSSER PLATZ;;66
MERKERHOFSTR.;12;66
SCHULSTR.;44;66
STREITZEUGGASSE;2;66
STEPRATHSTR.;16;66
MOSES-HESS-STR.;;66
MELATENGÜRTEL;21;66
MARTHASTR.;33;66
RUBENSSTR.;42;66
SUBBELRATHER STR.;26;66
SIEVERSSTR.;13;66
SIEVERSSTR.;23;66
PETER-DEDENBACH-STR.;2;66
WEISSHAUSSTR.;20;66
SALMSTR.;;66
NEUMARKT;1D;66
WEIMARER STR.;30;66
PELLENZSTR.;43;66
MÜNCHENER STR.;18;65
REITWEG;10;65
WILHELM-DAVID-STR.;15-17;65
WERKSTATTSTR.;4;65
VENLOER STR.;339-341;65
MARKT;26;65
VOLKSGARTENSTR.;28;65
TILSITER WEG;11;65
WERKSTATTSTR.;5;65
MÜNDELSTR.;1;65
MÜHLENGASSE;;65
ROBERT-SCHUMAN-STR.;;65
SELMA-LAGERLÖF-STR.;1;65
VOR DEN SIEBENBURGEN;71;65
SONNENSCHEINSTR.;1;65
PLECTRUDENGASSE;2;65
NEUSSER STR.;378;65
POLLER HAUPTSTR.;;65
MATHIASKIRCHPLATZ;18;65
PFÄLZER STR.;1B;65
SANDWEG;6;65
MÜHLENBACH;32-36;65
VIETORSTR.;4;65
STAMMSTR.;21-23;65
THIEBOLDSGASSE;142;65
FRANKFURTER STR.;72;65
KERPENER STR.;75;65
LINDENSTR.;51;65
BISTRITZER STR.;75;65
FRIEDRICH-SCHMIDT-STR.;32;65
ANNASTR.;1;65
ERNST-MÜHLENDYCK-STR.;12;65
GOTENRING;24;65
GYMNICHER STR.;4;65
APOSTELNSTR.;26;65
AM DUFFESBACH;41;65
HASELNUSSWEG;17;65
BRESLAUER STR. WE;36;65
DASSELSTR.;;65
BACHEMER STR.;102;65
LIEBIGSTR.;175;65
KATTENBUG;2;65
BLANKENHEIMER STR.;;65
ADAMSSTR.;16-18;65
ANTONITERSTR.;17;65
DECKSTEINER STR.;5;65
FRIESENWALL;102A;65
ACHTERSTR.;54;65
KASPARSTR.;8;65
FRANKFURTER STR.;85-87;65
INTZESTR.;;65
ALTENGRABENGÄSSCHEN;1A;65
DÜSSELDORFER STR.;14-16;65
AUGUST-HORCH-STR.;7;65
KRETZERSTR.;;64
AQUINOSTR.;16;64
GRASEGGERSTR.;88;64
JOHANNISSTR.;64;64
GOTENRING;11;64
GÖPPINGER STR.;17-19;64
BONNER STR.;88;64
EULENBERGSTR.;5-7;64
KALTENBORNWEG;;64
CHRISTINASTR.;23;64
ADOLPHSTR.;38;64
BEETHOVENSTR.;15;64
EIGELSTEIN;103-113;64
ARTILLERIESTR.;;64
HÄNDELSTR.;26;64
EMMERICHER STR.;9;64
GOLTSTEINSTR.;28-30;64
CÄCILIENKLOSTER;8-10;64
GROSSE BRINKGASSE;21/25;64
DÜRENER STR.;98;64
BRÜHLER STR.;;64
LUXEMBURGER STR.;187;64
BRABANTER STR.;52;64
KALKER HAUPTSTR.;162-164;64
KALKER HAUPTSTR.;217;64
BARCELONA-ALLEE;8;64
AACHENER STR.;6;64
FRITZ-VOIGT-STR.;2;64
AKAZIENWEG;;64
FLEISCHMENGERGASSE;2;64
IM DAU;17;64
LUSTHEIDER STR.;40;64
SANDGLÖCKCHENWEG;25;64
STEPHANSTR.;;64
MAYBACHSTR.;114;64
WÖRTHSTR.;1;64
ZÜLPICHER STR.;398;64
SÖMMERINGSTR.;44;64
NIEHLER STR.;218;64
VENLOER STR.;411;64
NEUSSER STR.;95;64
VENLOER STR.;724;64
RAABESTR.;;64
NEUE MAASTRICHTER STR.;;64
VENLOER STR.;197;64
NEUMARKT;1C;64
MÜHLENBACH;51A;64
WALLRAFPLATZ;;64
PETER-STÜHLEN-STR.;84;64
NUSSBAUMERSTR.;47;64
ROCHUSSTR.;55;64
ZÖRGIEBELSTR.;6;64
SIEGFRIEDSTR. RO;;64
NEUSSER STR.;181;63
OVERSTOLZENSTR.;;63
WERKSTATTSTR.;52;63
SEVERINSTR.;7;63
VOGELSANGER WEG JU;56;63
WORMSER STR.;1A;63
ROLANDSTR.;96;63
MELATENGÜRTEL;104;63
VON-SANDT-PLATZ;5-7;63
ZUGASSE;1;63
PARKGÜRTEL;9;63
SUBBELRATHER STR.;130;63
VORSTERSTR.;21;63
MÜHLENBACH;57;63
MONTANUSSTR.;70;63
ROBERT-KOCH-STR.;2;63
MARTHA-MENSE-STR.;;63
NIESSENSTR.;;63
NEUHÖFFERSTR.;30;63
STOLZESTR.;25;63
SCHMALBEINSTR.;25-28;63
ZWIRNERSTR.;21;63
WEINSBERGSTR.;82;63
SPICHERNSTR.;12-14;63
NEUSSER STR.;452;63
STAFFELSBERGSTR.;50;63
FRIEDLANDSTR.;6;63
ADOLPHSTR.;25;63
GEORGSPLATZ;8;63
HEIMBACHER STR.;;63
BACHSTR.;25;63
FLÜGELSTR.;;63
HÜLTZSTR.;7;63
IM GEWERBEGEBIET PESCH;;63
AACHENER STR.;30;63
HÖNINGER WEG;170;63
DÜRENER STR.;112;63
ERNST-CASSEL-STR.;11-13;63
KASEMATTENSTR.;8;63
KALKER HAUPTSTR.;184;63
BRÜDERSTR.;9-17;63
LORTZINGPLATZ;1A;63
KEMPENER STR.;119;63
BAYENSTR.;7;63
BRÜCKENSTR.;23;63
CLEVER STR.;18;63
BISMARCKSTR.;19-21;63
AM SONNENHUT;33;63
AACHENER STR.;483;63
GREMBERGER STR.;62;63
BRUNOSTR.;;63
GEORGSTR.;;63
GILGAUSTR.;22;63
LUDWIGSTR.;11;63
EUMENIUSSTR.;15-17;63
ANDREAESTR.;11;63
BERNHARD-FEILCHENFELD-STR;13;63
LILLER STR.;;63
LEYBERGSTR.;;62
FULDAER STR.;3;62
DÜRENER STR.;88;62
KARL-MARX-ALLEE;;62
BAHNHOFSTR. PO;;62
BISMARCKSTR.;7;62
CARL-SCHURZ-STR.;1;62
LANDGRAFENSTR.;1;62
KARLSTR.;5-7;62
KRINGSWEG;21;62
ALARICHSTR.;67;62
JOSEPHSKIRCHSTR.;45;62
ALARICHSTR.;61;62
GUTENBERGSTR.;2;62
KONRAD-ADENAUER-UFER;35;62
GEROLSTEINER STR.;111;62
KURFÜRSTENSTR.;1;62
KAISERSTR.;1B;62
GEBRÜDER-COBLENZ-STR.;2-4;62
AM JUSTIZZENTRUM;5;62
KALKER HAUPTSTR.;123-125;62
HERZOGSTR.;22-24;62
FRIESENSTR.;21;62
PRÄLAT-VAN-ACKEN-STR.;5;62
OTTOSTR.;71;62
SÖMMERINGSTR.;20;62
WERKSTATTSTR.;18;62
ZÜLPICHER STR.;245;62
SCHWALBACHER STR.;4;62
RÖSRATHER STR.;544;62
SCHWERTNERGASSE;1;62
MOZARTSTR.;17;62
PFÄLZER STR.;1A;62
MATHILDENSTR.;;62
SAARSTR. RO;;62
ZÜLPICHER PLATZ;8-10;62
VENLOER STR.;425A-B;62
VOLKSGARTENSTR.;48;62
NEUSSER STR.;257;62
SÜLZBURGSTR.;78A;62
STERNWEG;;62
MAURITIUSWALL;68;62
SPIELMANNSGASSE;;62
UNTER KAHLENHAUSEN;47;62
NEUSSER STR.;310-312;62
SÖMMERINGSTR.;36;62
PERLENPFUHL;11-13;62
NORBERTSTR.;2-4;62
VENLOER STR.;383B;61
MOLTKESTR.;88;61
VOCHEMER STR.;22;61
MITTELSTR.;26;61
VENLOER STR.;330;61
SEVERINSKIRCHPLATZ;;61
ROLSHOVER STR.;527;61
MÜNCHENER STR.;17;61
PFÄLZER STR.;1H;61
VENLOER STR.;240;61
NEUSSER WALL;48;61
RICHARD-WAGNER-STR.;2;61
PFITZNERSTR.;2A;61
WARTHESTR.;20;61
SUBBELRATHER STR.;138;61
MEROWINGERSTR.;7;61
ZÜLPICHER STR.;318;61
SCHILLERSTR.;;61
ROTTERDAMER STR.;33;61
NEUSSER STR.;292/94;61
MELATENGÜRTEL;19;61
WOLFSSTR.;2-4;61
HARDTGENBUSCHER KIRCHWEG;;61
DEUTZ-KALKER STR.;1;61
DAHLIENWEG PO;2-6;61
AUF DEM HUNNENRÜCKEN;7;61
FILZENGRABEN;;61
HAUPTSTR. RO;122;61
CLEMENSSTR.;;61
HOHENSTAUFENRING;13;61
ELISENSTR.;21;61
KÖNIGSTR.;;61
EDITH-STEIN-STR.;6;61
BENDORFER WEG;2;61
HÄNDELSTR.;;61
FRIEDRICHSTR. PO;;61
LEOSTR.;73;61
BIBERSTR.;48;61
CLEMENSSTR.;5-7;61
ELSTERGASSE;3;61
AACHENER STR.;1343;61
BURGMAUER;47;61
BRÜDERSTR.;7-9;61
BRUKTERERSTR.;4;61
AUF DEM BRAND RO;5;61
KALKER HAUPTSTR.;153;61
AN ST.ELISABETH;14;61
HAMBURGER STR.;11;61
GRETHENSTR.;28;61
KERMETERSTR.;;61
KERPENER STR.;101;61
LINDENHOF;;61
HILDEBOLDPLATZ;9;61
HEINRICH-BILLSTEIN-STR.;;61
KERPENER STR.;59;61
AM GRAUEN STEIN;3;61
DÜRENER STR.;240;61
LUKASSTR.;8;61
GOETHESTR. WE;40;61
AN DER MALZMÜHLE;3;61
CLARENBACHSTR.;247A;61
GLASHÜTTENSTR.;9;61
ACHTERSTR.;1;61
AM BILDERSTÖCKCHEN;;61
KERPENER STR.;30;61
BERTHA-SANDER-STR.;12;60
HAUPTSTR. RO;56;60
FRANKFURTER STR.;90;60
HARDEFUSTSTR.;;60
FREILIGRATHSTR.;;60
AACHENER STR.;491;60
KURFÜRSTENSTR.;;60
ARNDTSTR.;6;60
GOETHESTR. WE;42;60
KIELER STR.;56;60
LUXEMBURGER STR.;230;60
FRIESENWALL;44/46;60
HOLZMARKT;;60
FLEISCHMENGERGASSE;3;60
ERNST-WILHELM-NAY-STR.;20;60
EIGELSTEIN;95;60
BREIBERGSTR.;;60
GEISBERGSTR.;;60
BAYENSTR.;1;60
CUSTODISSTR.;4;60
GENOVEVASTR.;9;60
LORTZINGSTR.;;60
AUGUSTSTR.;;60
URBACHER WEG PO;48;60
TAKUSTR.;32;60
NEUSSER STR.;414;60
MARKOMANNENSTR.;1;60
SCHELLENWEG;12;60
MARTINSTR.;29-37;60
SOONECKSTR.;;60
RÖSRATHER STR.;2-16;60
REISCHPLATZ;11;60
QUIRINSTR.;12-14;60
THURNMARKT;3-5;60
WILHELMSTR.;55;60
MOLTKESTR.;30A;60
MARZELLENSTR.;26;60
ZÜLPICHER PLATZ;;60
PETERSBERGSTR.;5;60
RATHENAUPLATZ;22-23;60
STETTINER WEG;2;60
SEVERINSTR.;15;60
SUEVENSTR.;26;60
ROLANDSTR.;55;60
VENLOER STR.;353;60
WÜRZBURGER STR.;;60
VENLOER STR.;378;60
THUMBSTR.;59;59
VAN-KEMPEN-STR.;1;59
MOLTKESTR.;135;59
WEINSBERGSTR.;138;59
NEUSSER STR.;18;59
VENLOER STR.;434;59
VENLOER STR.;193;59
OHMSTR.;;59
PAUL-BRÄTTER-STR.;;59
MAYBACHSTR.;42;59
ZÜLPICHER STR.;232;59
ST.-APERN-STR.;44-46;59
NEUSSER STR.;251;59
TRAJANSTR.;27;59
WAISENHAUSGASSE;51;59
VORSTERSTR.;64;59
SÜLZBURGSTR.;78;59
MÜNCHENER STR.;10;59
RATHAUSSTR.;8;59
RÜDESHEIMER STR.;;59
SEIDMACHERINNENGÄSSCHEN;5;59
PALANTERSTR.;12D;59
SEVERINSTR.;109;59
THERESIENSTR.;88-88A;59
SACHSENRING;77;59
STERNENGASSE;1B;59
WERKSTATTSTR.;20;59
STERNENGASSE;1A;59
NEUSSER STR.;420;59
NEUSSER STR.;334;59
MARTINSTR.;28;59
WEYERTAL;76;59
VOLKSGARTENSTR.;50;59
ROBERT-BOSCH-STR.;;59
PIUSSTR.;88;59
LILIENTHALSTR.;;59
BUCHFORSTSTR.;124;59
HOMARSTR.;45;59
HARDTGENBUSCHER KIRCHWEG;113;59
KYFFHÄUSERSTR.;15;59
HERDERSTR.;84;59
BARDENHEUERSTR.;1;59
GILGAUSTR.;24;59
HOMBERGSTR.;7;59
BIRRESBORNER STR.;31;59
KAUTSCHUKSTR.;;59
JAKOBSTR.;10;59
ARNIMSTR.;2A;59
BACHEMSTR.;;59
LÜBECKER STR. WE;1;59
AM BEETHOVENPARK;;59
AM PISTORHOF;24;59
LAURENZ-KIESGEN-STR.;;59
LEONHARD-TIETZ-STR.;1;59
KALK-MÜLHEIMER STR.;93-97;59
HOHENZOLLERNRING;15;59
BIRRESBORNER STR.;28;59
DÜRENER STR.;365;59
FRANKFURTER STR.;68;59
ALEMANNENSTR.;2;59
LÜTTRINGHAUSER STR.;64;59
KARL-KORN-STR.;16;59
ALPENERPLATZ;4;59
ERNSTBERGSTR.;;59
DÜRENER STR.;128-130;59
FOLLERSTR.;86;59
FRECHENER STR.;;59
JAHNSTR.;32-34;59
KLEISTSTR.;;59
GOTENRING;15;59
DIONYSSTR.;;59
DELLBRÜCKER HAUPTSTR.;89-91;59
KRONENGASSE;7;59
JOHANNES-PRASSEL-STR.;;59
AACHENER STR.;354;59
GUSTAV-RADBRUCH-STR.;23;59
KREFELDER STR.;;59
MAGNUSSTR.;11-13;59
FRIEDRICH-SCHMIDT-STR.;30;59
GERTRUD-LUCKNER-KARREE;2;59
DÜRENER STR.;196;59
ASTERNWEG;;59
KASPARSTR.;3;59
EINTRACHTSTR.;54-56;59
HITTORFSTR.;25;59
BERLINER STR.;53;59
HEERSTR.;53;58
DOROTHEE-SÖLLE-PLATZ;;58
KÖNIGSWINTERSTR.;;58
KREUZBLUMENWEG;15;58
ALTEBURGER STR.;89;58
BONNER STR. PO;51A;58
LOHSESTR.;6;58
GEREONSMÜHLENGASSE;;58
DÜRENER STR.;244;58
HASELNUSSWEG;19;58
KRATZWEG;;58
GOTENRING;27;58
BENESISSTR.;14/18;58
HEIDKAMPSTR.;10;58
LASSALLESTR.;60;58
EYTHSTR.;74-78;58
CUSTODISSTR.;1;58
BERGISCH GLADBACHER STR.;575;58
IM FERKULUM;35;58
KLINGELPÜTZ;29;58
KASERNENSTR.;5;58
AKAZIENWEG;68;58
GROSSE SANDKAUL;24-26;58
KAESENSTR.;;58
AN DER BOTTMÜHLE;4;58
GUSTAV-NACHTIGAL-STR.;;58
AACHENER STR.;317-319;58
KALKER HAUPTSTR.;211-213;58
AM SONNENHUT;35;58
HEINRICH-BÜRGERS-STR.;;58
APOSTELNSTR.;32-34;58
GLADBACHER STR.;32;58
KAPITELSTR.;16-18;58
AMSTERDAMER STR.;58;58
ANNOSTR.;19A;58
GÜRZENICHSTR.;25;58
KARL-SCHWERING-PLATZ;1;58
LEIDENER STR.;2;58
CORKSTR.;19-23;58
DASSELSTR.;1A;58
DEUTZ-KALKER STR.;4;58
WEINSBERGSTR.;80;58
PRÄLAT-VAN-ACKEN-STR.;3;58
STEPRATHSTR.;18;58
SANDGLÖCKCHENWEG;;58
WIESBADENER STR.;;58
