strasse;hausnummer;anzahl bussgelder
KENNEDY-UFER;;3235
CHARLES-DE-GAULLE-PLATZ;;3114
LIVERPOOLER PLATZ;;2922
VORSTERSTR.;;2390
JAN-WELLEM-STR.;;1615
NIEHLER GÜRTEL;;1613
MARSPFORTENGASSE;;1527
OVERSBURGSTR.;;1507
AN DER RECHTSCHULE;;1478
NEVEN-DU MONT-STR.;;1459
HITDORFER FÄHRWEG;;1427
HELENENWALLSTR.;;1372
TURKUPLATZ;;1346
HAHNENSTR.;6;1162
RHEINPARKWEG;;1149
OPLADENER STR.;;1149
AM MOLENKOPF;;1089
VOLKSGARTENSTR.;;1011
FLORENZER STR.;32;1009
OSTSTR.;;994
FRIESENWALL;;974
REITWEG;;968
AN DER KEMPERWIESE;;966
JOSEPHSTR.;;947
AUERBACHPLATZ;;919
FRIEDRICHSTR.;;917
URBANSTR.;;903
AUENWEG;;900
SCHMALBEINSTR.;;882
REICHENSPERGERPLATZ;;881
BERRENRATHER STR.;;879
FROHNGASSE;;861
FLORENZER STR.;;814
RIEHLER STR.;;809
HAHNENSTR.;16;782
BARBARASTR. RO;;773
NIEHLER KIRCHWEG;;759
BENESISSTR.;;752
FUCHSSTR.;;751
AM SALZMAGAZIN;;731
BEETHOVENSTR.;5-13;729
APPELLHOFPLATZ;;723
MAGNUSSTR.;;713
HAHNENSTR.;2;709
PHILIPP-REIS-STR.;;700
HOHENZOLLERNRING;2-10;692
OSKAR-JÄGER-STR.;;674
JAHNSTR.;;644
GROSSE SANDKAUL;;642
BUNZLAUER STR. WE;5;640
ZÜLPICHER WALL;;640
HÜTTENSTR.;;631
NEUSSER STR.;285;620
DEUTZER FREIHEIT;;612
AM LEYSTAPEL;;607
HOLWEIDER STR.;4-6;607
ALTEBURGER STR.;;592
PETER-WELTER-PLATZ;;588
AACHENER STR.;;584
BUCHHEIMER STR.;;582
NEUSSER STR.;;572
EITORFER STR.;;568
HAHNENSTR.;18;557
HAHNENSTR.;;553
MITTELSTR.;32;547
RATHER KIRCHWEG;;545
CONSTANTINSTR.;;533
KARTÄUSERWALL;;526
FREIHERR-VOM-STEIN-STR.;;523
HAUPTSTR. RO;;518
NEUERBURGSTR.;;517
KONRAD-ADENAUER-UFER;;516
FLORENZER STR.;20;516
HOHENZOLLERNRING;16-18;516
ACHTERSTR.;;512
BRABANTER STR.;;510
GLOCKENGASSE;;505
AM MARKTPLATZ;;502
APOSTELNKLOSTER;;502
HAHNENSTR.;8;493
MAGNUSSTR.;13;491
ORANJEHOFSTR.;;484
HANSARING;;480
HANS-CARL-NIPPERDEY-STR.;;450
HOHENSTAUFENRING;66-70;433
BUTZWEILERHOFALLEE;;430
GENOVEVASTR.;;430
WEINSBERGSTR.;;430
FRIEDRICH-KARL-STR.;;429
KRONENGASSE;;427
APOSTELNKLOSTER;17-19;424
MÜHLENSTR.;;416
MAGNUSSTR.;11;415
AN DER FLORA;;411
VENLOER STR.;;409
MERHEIMER STR.;;408
MAINZER STR.;;406
GOFFINEWEG;;400
AGRIPPASTR.;;395
CLEVER STR.;;394
MOLTKESTR.;;394
HOHENZOLLERNRING;57;390
MARKMANNSGASSE;;388
MAYBACHSTR.;;388
SIEGBURGER STR.;371;388
NEUSSER STR.;220;383
SIEGBURGER STR.;363;382
NEUSSER STR.;222;379
CLAUDIUSSTR.;;377
FRIESENWALL;19;373
HOHENSTAUFENRING;62;368
VINGSTER RING;;367
VOGELSANGER STR.;;364
MONTESSORISTR.;;363
SUBBELRATHER STR.;;361
BONNER WALL;;359
MAURITIUSKIRCHPLATZ;;359
CÄCILIENKLOSTER;2-10;357
NEUSSER STR.;280;345
IM SIONSTAL;;344
KUENSTR.;;343
SPICHERNSTR.;;343
NEUSSER STR.;266-276;342
BECHERGASSE;2-8;341
GLADBACHER WALL;2A;335
LOTHRINGER STR.;;334
DRUSUSGASSE;7-11;332
BALTHASARSTR.;;331
NEUSSER WALL;;330
FRIEDENSSTR. PO;;330
DRUSUSGASSE;1-5;329
FRANKFURTER STR.;;327
PAUL-SCHALLÜCK-STR.;;324
CÄCILIENSTR.;;323
ZÜLPICHER STR.;;322
HOHENZOLLERNRING;14;321
GOLTSTEINSTR.;;321
HOHENZOLLERNRING;12;317
MARTHASTR.;;316
SÖMMERINGSTR.;;315
NEUE LANGGASSE;;312
MITTELSTR.;;312
LEYENDECKERSTR.;;310
BRABANTER STR.;55;308
GOTENRING;;307
AM ALTEN UFER;;307
VITALISSTR.;;307
DEUTZER FREIHEIT;84-86;306
MOMMSENSTR.;;306
BRABANTER STR.;9;306
INNERE KANALSTR.;;306
ROMAN-KÜHNEL-WEG;;305
PETERSTR.;29;305
BRABANTER STR.;3;304
IM WIESCHEN;;304
GROSSER GRIECHENMARKT;;304
JOSEFSTR.;20;304
HELIOSSTR.;;304
ROBERT-KOCH-STR.;10;301
MAURITIUSWALL;;300
PARKGÜRTEL;;299
BARTHELSTR.;;298
WEYERTAL;;298
KIRCHSTR. RO;;296
SCHÖNSTEINSTR.;;295
MERCATORSTR.;;294
GEORGSPLATZ;;294
JOHANNISSTR.;;292
APOSTELNKLOSTER;13-15;291
NEUSSER LANDSTR.;;290
BRIEDELER STR.;;290
NEUKÖLLNER STR.;;290
BACHEMER STR.;;288
KIRCHSTR. RO;2;287
CÄCILIENSTR.;48;286
BUCHFORSTSTR.;;286
QUATERMARKT;;285
NEUSSER STR.;284-286;285
ULRICHGASSE;;285
VENLOER STR.;254-260;285
NEUSSER STR.;453;282
NIEHLER STR.;;281
BUNZLAUER STR. WE;3;281
SIEGBURGER STR.;;281
THIEBOLDSGASSE;;281
LOKOMOTIVSTR.;8;280
GOTENRING;8;278
RADERBERGER STR.;;278
BRÜDERSTR.;7;277
RATHENAUPLATZ;;275
EICHSTR.;45;275
ANTONSGASSE;1;273
LUDOLF-CAMPHAUSEN-STR.;;272
AM ALTEN UFER;12;272
FRIDOLINSTR.;;270
EINTRACHTSTR.;65;270
URBACHER WEG PO;;269
BEETHOVENSTR.;10;268
ROBERT-KOCH-STR.;8;268
KASEMATTENSTR.;;267
MARKGRAFENSTR.;;267
GUSTAV-CORDS-STR.;;266
HOHENZOLLERNRING;;265
RICHARTZSTR.;14-16;265
GLEUELER STR.;;265
HERMANN-PÜNDER-STR.;;264
AMSTERDAMER STR.;;262
GERHARD-BRUDERS-STR.;;262
BALTHASARSTR.;31;261
ROLANDSTR.;;259
ALTER STAMMHEIMER WEG;;259
STALLAGSBERGWEG;;259
WÖHLERSTR.;;258
AM FLACHSROSTERWEG;;258
SAUERLANDSTR.;;258
AM TRUTZENBERG;;258
BRÜGELMANNSTR.;16-18;258
ROBERT-KOCH-STR.;;257
SEVERINSWALL;;257
HOHENSTAUFENRING;57A;256
KOLPINGPLATZ;5-11;254
HERZOGSTR.;42;254
KARL-KORN-STR.;;254
VORGEBIRGSTR.;118;253
KIERBERGER STR.;;251
NEUSSER STR.;278;249
HOHENZOLLERNRING;20;248
BRÜDERSTR.;9;246
WAISENHAUSGASSE;;246
TURINER STR.;;245
NEUKÖLLNER STR.;1;245
HERBRANDSTR.;;244
EYTHSTR.;;244
PALMSTR.;;243
TRAJANSTR.;;242
FRIESENWALL;13-17;240
BRABANTER STR.;23;240
BUTZWEILERHOFALLEE;1;239
SCHAAFENSTR.;;238
DEUTZ-KALKER STR.;;236
WERKSTATTSTR.;;235
AN DER DREHSCHEIBE;7;234
GOTTESWEG;;233
STOLKGASSE;;233
HOHENSTAUFENRING;4-6;232
MITTELSTR.;3;231
LIEBIGSTR.;;231
KARTÄUSERHOF;;231
CUSANUSSTR.;;230
MÜNSTEREIFELER STR.;;229
BERGISCH GLADBACHER STR.;;229
JOHANN-CLASSEN-STR.;;228
WALDSTR.;3;228
MARIENSTR.;;227
GOTENRING;10;227
NEUSSER STR.;260;227
EINTRACHTSTR.;61;226
LOCHNERSTR.;1;226
AUF DEM BRAND;;226
BAYENSTR.;;226
MACHABÄERSTR.;;225
HAHNENSTR.;33;225
KARDINAL-FRINGS-STR.;7;222
PIUSSTR.;;221
REICHENSPERGERPLATZ;1;221
LÜTTICHER STR.;;219
NEUSSER STR.;255;218
SEVERINSWALL;43;218
KLEINGEDANKSTR.;;217
BRÜDERSTR.;;217
HÖHENFELDER MAUSPFAD;;217
GROSSE SANDKAUL;2;216
NEUSSER STR.;206-208;216
UFERSTR. RO;;216
WALDECKER STR.;17;215
HOHENSTAUFENRING;47-51;215
BISCHOFSGARTENSTR.;;215
HOHENSTAUFENRING;43-45;215
NEUSSER STR.;218;215
CLARENBACHSTR.;;215
HERMANN-PÜNDER-STR.;1;214
HOHENZOLLERNRING;46;214
FLANDRISCHE STR.;;213
BAHNHOFSVORPLATZ;;213
PANTALEONSWALL;;213
SIEMENSSTR.;;213
TILSITER WEG;3;213
ZUGWEG;40;212
RHEINGASSE;;212
PERLENPFUHL;;212
KEMPENER STR.;;212
GUTENBERGSTR.;;211
HANSARING;63-67;211
REITWEG;2-4;211
BREUERSTR.;;211
LEYENDECKERSTR.;75;211
FLORENZER STR.;2-6;211
BRÜDERSTR.;3;210
KEMPENER STR.;145;210
KAISERSTR.;;210
HERWARTHSTR.;;210
GUTS-MUTHS-WEG;;210
HASELNUSSWEG;32;210
MARTINSTR.;;209
SACHSENBERGSTR.;;209
NIEDERLÄNDER UFER;;209
ZÜLPICHER WALL;5;209
SUBBELRATHER STR.;266;208
SACHSENRING;29-31;208
NEUSSER STR.;93;207
MITTELSTR.;29;207
EHRENSTR.;;206
BRIGITTENGÄSSCHEN;;206
NEPTUNSTR.;;206
PETERSBERGSTR.;;205
SIEVERSSTR.;37-41;205
SEVERINSTR.;;204
REITWEG;3;204
AUERBACHPLATZ;3-5;203
NEUENHÖFER ALLEE;;203
NEUSSER STR.;20;202
ELISABETH-BREUER-STR.;2;202
HOHENZOLLERNRING;25;202
RADERTHALGÜRTEL;;202
STEINWEG;4;200
ALARICHSTR.;;199
GRAEFFSTR.;41;199
PIPINSTR.;;199
KALKER HAUPTSTR.;;199
MOLTKESTR.;27;199
HEISTERBACHSTR.;;198
MILITÄRRINGSTR.;;198
OSKAR-JÄGER-STR.;147;198
OVERBECKSTR.;;197
MERKERHOFSTR.;13;196
GROSSE BUDENGASSE;10;196
HOHENSTAUFENRING;72;195
KAROLINGERRING;4;194
MARSPFORTENGASSE;5-7;194
BUSCHGASSE;;193
NEUSSER STR.;237;193
HOHENZOLLERNRING;21-23;191
OBENMARSPFORTEN;;191
WILHELMSTR.;85;191
WEISSHAUSSTR.;;191
NEUSSER STR.;230;190
GOTENRING;2;190
NEUSSER STR.;224;190
CÄCILIENKLOSTER;;189
BEETHOVENSTR.;;189
KEUPSTR.;;188
EVERHARDSTR.;;188
LEONHARD-TIETZ-STR.;3;188
KAMEKESTR.;12;188
BRESLAUER PLATZ;4;188
RATHAUSSTR.;;187
WÖHLERSTR.;14;187
DAGOBERTSTR.;;186
GREMBERGER STR.;;186
FRANZSTR.;;186
BUNZLAUER STR. WE;2-4;186
PANTALEONSMÜHLENGASSE;;185
NEUSSER STR.;336-338;184
MARIENGARTENGASSE;3;184
HAMBURGER STR.;;184
VOGELSANGER STR.;385A;184
AUGUST-HORCH-STR.;;183
OLPENER STR.;;183
ILTISSTR.;;183
AM SALZMAGAZIN;60-62;183
MÜNDELSTR.;;183
HERMANN-PÜNDER-STR.;3;183
OSLOER STR.;;183
EHRENSTR.;11;182
PFEILSTR.;;182
EINTRACHTSTR.;2;182
NEUSSER STR.;258;181
FRÖBELSTR.;;180
OSLOER STR.;3;179
GOTENRING;4;179
ERNST-WILHELM-NAY-STR.;40;178
BURGHÖFCHEN;;178
BRÜDERSTR.;17;178
SÜLZBURGSTR.;;178
ENGELBERTSTR.;;177
NEUSSER STR.;239;176
RICHARTZSTR.;12;176
WILHELM-HOSSDORF-STR.;;176
SIEGFRIEDSTR.;;176
STUPPSTR.;;175
WALDECKER STR.;;175
WESTERWALDSTR.;;175
OTTOSTR.;;175
GOLTSTEINSTR.;120;175
KAISER-WILHELM-RING;23-25;175
RÖMERGASSE;5;174
NUSSBAUMERSTR.;;174
MYLIUSSTR.;;174
GERNSHEIMER STR.;;173
LONGERICHER HAUPTSTR.;;173
NEVEN-DU MONT-STR.;14;173
HOHENZOLLERNRING;54;173
SCHANZENSTR.;36;173
GUSTAVSTR.;56;172
ÄUSSERE KANALSTR.;75C;172
FRANKFURTER STR.;38;172
LENTSTR.;;172
HASELNUSSWEG;38;171
KAPITELSTR.;;170
EINTRACHTSTR.;;170
LUDWIGSTR.;6;170
KASPARSTR.;;169
EHRENSTR.;69;169
GRAF-ADOLF-STR.;;169
SCHÖNSTEINSTR.;11-23;169
BARBARASTR. RO;5-9;168
CÄCILIENSTR.;46;168
MERTENER STR.;;167
BRÜSSELER STR.;;167
CONSTANTINSTR.;78;167
NEUSSER STR.;273;167
ERNST-WILHELM-NAY-STR.;;167
WILHELMSTR.;81;167
THEODOR-HEUSS-RING;23;167
WERTHMANNSTR.;;166
JAKOBSTR.;4;166
HASELNUSSWEG;30;166
KYOTOSTR.;;165
FRANKFURTER STR.;19;165
RICHARTZSTR.;10;165
NEUERBURGSTR.;15;165
HERBRANDSTR.;5;165
HAHNENSTR.;29-31;165
KREFELDER WALL;;165
ADALBERTSTR.;;164
CONSTANTINSTR.;95;164
SIEVERSSTR.;22;164
WEIMARER STR.;;164
VIETORSTR.;;163
ROISDORFER STR.;;163
HOHENSTAUFENRING;48-54;163
KONRAD-ADENAUER-STR. RO;;162
PETERSTR.;3;161
EMIL-SCHREITERER-PLATZ;;161
NEVEN-DU MONT-STR.;6;161
HASELBERGSTR.;;161
THEODOR-HEUSS-RING;13-15;161
THEODOR-HEUSS-RING;19-21;161
DEUTZER FREIHEIT;70;160
FLEISCHMENGERGASSE;57;160
ROONSTR.;;160
MILTENBERGER STR.;;160
KAPELLENSTR.;52;160
NEUSSER STR.;100;160
KARTÄUSERGASSE;;160
BERLINER STR.;;159
KREUTZERSTR.;5-9;159
BONNER STR. PO;;159
APOSTELNSTR.;9-11;159
YITZHAK-RABIN-PLATZ;;159
VENLOER STR.;401;158
CÄCILIENSTR.;42-44;158
GRONAUER STR.;53;158
DEUTZER FREIHEIT;77-79;158
ALTEBURGER STR.;101;158
BERTHA-SANDER-STR.;1;157
HELIOSSTR.;2;157
EVERHARDSTR.;59;157
BENNAUERSTR.;;156
GROSSE BRINKGASSE;;156
MOHRENSTR.;;156
RÖMERGASSE;;156
PFARRER-OERMANN-PLATZ;;156
HASELNUSSWEG;;156
DEUTZER FREIHEIT;68;156
NEUSSER STR.;292-294;155
SEVERINSTR.;161-163;155
VENLOER STR.;341;154
AM ÖLHAFEN;;154
OSTLANDSTR.;49;154
BURGENLANDSTR.;;154
HOHENSTAUFENRING;59;154
BARBARASTR. RO;11;154
EULENBERGSTR.;2;154
RITTERSTR.;17;153
KAMEKESTR.;3;153
KUPFERGASSE PO;;153
REUTLINGER STR.;;152
RIEHLER GÜRTEL;;152
HAHNENSTR.;14;152
BISMARCKSTR.;49;152
HAHNENSTR.;16-16A;152
KEMPENER STR.;31;152
EHRENSTR.;15-17;152
KOLPINGPLATZ;;152
LUDWIGSTR.;8;152
KOPERNIKUSSTR.;;152
HOHENSTAUFENRING;38-40;152
SCHIRMERSTR.;;152
WILHELMSTR. RO;74;152
SCHMALBEINSTR.;5-7;151
VENLOER STR.;248;151
ZÖRGIEBELSTR.;;151
REMSCHEIDER STR.;;151
RHEINSTEINSTR.;;151
HOHENZOLLERNRING;44;151
ANKERSTR.;;151
FRANKFURTER STR.;61;150
DEUTZER FREIHEIT;88;150
BODESTR.;;150
KUPFERGASSE;2;150
BONNER STR.;;150
RICHARTZSTR.;;150
NOGATSTR.;;150
CASTELLAUNER STR.;;150
THIEBOLDSGASSE;136;150
TRITTENHEIMER STR.;;149
GÖTTINGER STR. WE;;149
BIBERSTR.;;149
MARKTSTR.;6;148
KERPENER STR.;61-69;148
CHRISTIAN-SCHULT-STR.;;148
MITTELSTR.;12-14;148
NEUSSER STR.;108;148
CRANACHSTR.;;148
NEUSSER STR.;397-399;148
EHRENSTR.;13;148
GUDRUNSTR. RO;2;148
KRONENGASSE;9;148
SIMROCKSTR.;;148
VENLOER WALL;;148
VENLOER STR.;425B;148
STAMMSTR.;99;147
LIEGNITZSTR.;7;147
GLASHÜTTENSTR.;;147
AN DEN DOMINIKANERN;6-8;147
RICHMODSTR.;;147
MERHEIMER PLATZ;;147
KONRAD-ADENAUER-UFER;7;146
KOMÖDIENSTR.;37;146
HOHENZOLLERNRING;52;146
SCHAEVENSTR.;1A;146
ANNASTR.;75;146
EHRENSTR.;25-27;146
VORGEBIRGSWALL;;146
SIEBENGEBIRGSALLEE;;146
WALDSTR.;;146
DÜPPELSTR.;22A;145
HELENENSTR.;13;145
PIPINSTR.;16;145
BOLZENGASSE;;145
MYLIUSSTR.;24;144
LINDENSTR.;52;144
OSLOER STR.;6;144
AN DER RECHTSCHULE;2;144
OSKAR-JÄGER-STR.;147A;143
KAISER-WILHELM-RING;17-21;143
MARSILSTEIN;6;143
WRANGELSTR.;;143
THUSNELDASTR.;;142
MERKENSSTR.;;142
HANSARING;40-50;142
KALKER HAUPTSTR.;148;142
KALK-MÜLHEIMER STR.;;142
KALKER HAUPTSTR.;181;141
KRONENGASSE;21;141
FLEISCHMENGERGASSE;;141
BERTHA-SANDER-STR.;3;141
GUMMERSBACHER STR.;;141
BERTRAMSTR.;;141
THEODOR-HEUSS-RING;;141
VORGEBIRGSTR.;;141
VOLKHOVENER WEG;;141
ZEHNTSTR.;;141
LEYENDECKERSTR.;10;140
BUCHFORSTSTR.;31;140
HEIDEMANNSTR.;;140
FLORASTR.;;139
HOHENZOLLERNRING;48;139
RÖMERGASSE;3;139
ROLSHOVER STR.;151;139
BRÜCKENAUER STR.;;139
WERDERSTR.;;139
STEINWEG;;139
SERVATIUSSTR.;;139
WEYERSTR.;;138
MITTELSTR.;52-54;138
EHRENSTR.;19;138
NEUSSER STR.;30-32;138
DEUTZER FREIHEIT;113;138
HOCHSTADENSTR.;;137
BRÜCKENSTR. RO;106;137
IN DER HÖHLE;;137
REMSCHEIDER STR.;88;137
AUF DER RUHR;;137
DREIKÖNIGENSTR.;23;137
OTTMAR-POHL-PLATZ;1;137
SONDERBURGER STR.;;137
WALLSTR.;95;136
TURINER STR.;6;136
AM FAULBACH;;136
GUDRUNSTR. RO;6;136
HÄNDELSTR.;55;136
ALTER MÜHLENWEG;;136
HANS-WILLY-MERTENS-STR.;2;135
FRIESENWALL;44-46;135
BOCHUMER STR.;2;135
RATHENAUPLATZ;23;135
KITSCHBURGER STR.;242;134
AN DEN GELENKBOGENHALLEN;;134
ERLANGER STR.;;134
EINTRACHTSTR.;63;134
BURGMAUER;68;134
RICHARTZSTR.;2-4;134
HERBIGSTR.;;134
HANSEMANNSTR.;2A;134
SIMARPLATZ;;134
VENLOER STR.;325;134
UNTER KAHLENHAUSEN;;133
SPIESERGASSE;;133
KEMPENER STR.;44;133
ADOLF-FISCHER-STR.;;133
AN DER MÜNZE;;132
VENLOER STR.;227-231;132
VENLOER STR.;250;132
STAMMSTR.;;132
JUNKERSDORFER STR.;;131
EINTRACHTSTR.;67;130
APPELLHOFPLATZ;9;130
RATHENAUPLATZ;7;130
NEUMARKT;41-43;130
OSTSTR.;9-11;130
NEUSSER STR.;279;130
LÜDERICHSTR.;;130
AGRIPPASTR.;87-93;130
DÖBRABERGSTR.;;130
KEMPENER STR.;53-55;130
METZER STR.;;130
WILHELMSTR.;;130
WINTERBERGER STR.;;130
THEODOR-HEUSS-RING;7;130
THEODOR-HEUSS-RING;9;129
WEISSHAUSSTR.;30;129
BRÜDERSTR.;19;129
AN DEN DOMINIKANERN;;129
MOLTKESTR.;73-75;129
NEUSSER STR.;287;129
AUF DER RUHR;2;128
MAURITIUSWALL;31;128
GRETHENSTR.;;128
HERBRANDSTR.;1;128
VENLOER STR.;530;128
UNTER SACHSENHAUSEN;1-3;128
STÜTTGENWEG;;127
VENLOER STR.;278;127
ZWIRNERSTR.;;127
WILHELMSTR. RO;53;127
EULENBERGSTR.;9;127
BISMARCKSTR.;47;127
EINTRACHTSTR.;69;127
REISSTR.;2;127
BERNHARD-LETTERHAUS-STR.;2;127
CHARLES-DE-GAULLE-PLATZ;1;127
KAPELLENSTR.;13;126
KEMPENER STR.;29;126
NEUSSER STR.;14;126
APOSTELNSTR.;13;126
DREIKÖNIGENSTR.;;126
ALBERTUSSTR.;;126
RADERBERGGÜRTEL;;126
MOLTKESTR.;71;126
ALSENSTR.;;126
GOTENRING;6;126
KAPITELSTR.;14;126
WICHTERICHSTR.;;126
VENLOER STR.;429;125
URBANSTR.;1;125
THEODOR-HEUSS-RING;11;125
OLYMPIAWEG;;125
BLAUBACH;9;125
DEUTZER FREIHEIT;114;125
PFEILSTR.;46;125
ERNST-WILHELM-NAY-STR.;42;125
JAKOB-KNEIP-STR.;;125
OBERER BRUCHWEG;;125
AM HUSHOLZ;;125
AACHENER STR.;451;125
HOLSTEINSTR.;;124
CLEVER STR.;13-15;124
AACHENER STR.;1208;124
DRUSUSGASSE;;124
LUNGENGASSE;35;124
GUDRUNSTR. RO;4;124
RITTERSTR.;22;124
CLAUDIUSSTR.;1;124
DILLENBURGER STR.;25;124
STEPRATHSTR.;;124
WALLSTR.;97;123
WEILERWEG;;123
BERNHARD-FEILCHENFELD-STR;1;123
BLAUBACH;;123
HACKETÄUERSTR.;27;123
GEREONSWALL;;123
EYTHSTR.;137;123
DEUTZER FREIHEIT;49;123
FRANKENWERFT;;123
KRIELER STR.;100;123
EHRENSTR.;45-47;123
EHRENSTR.;1-3;123
NONNENWERTHSTR.;;123
LOKOMOTIVSTR.;;123
DEUTZER FREIHEIT;90;122
MACHABÄERSTR.;28;122
JOSEPH-STELZMANN-STR.;;122
HANSARING;83;122
AN DER SCHANZ;2;122
BAUDRIPLATZ;16;122
KARTÄUSERWALL;40;122
FLORENZER STR.;14-18;122
QUENTELSTR.;;122
ESCHER STR.;;122
VINCENZSTR.;27;122
URSULAPLATZ;;122
STAMMSTR.;97B;122
VORSTERSTR.;23;122
STUPPSTR.;22;121
HERMESGASSE;;121
BAUDRIPLATZ;12;121
NEUMARKT;24;121
KOLUMBASTR.;8;121
GÜRZENICHSTR.;;121
CHRISTINASTR.;62-64;121
HAUPTSTR. PO;;121
LOKOMOTIVSTR.;124;120
HOHENFRIEDBERGSTR.;8-14;120
UNIVERSITÄTSSTR.;;120
SCHILLINGSROTTER STR.;;120
VORSTERSTR.;65A;119
WEYERSTR.;108;119
FLORENZER STR.;8-12;119
JOSEFSTR.;;119
BERNHARD-LETTERHAUS-STR.;4;119
HERKULESSTR.;;119
BUCHFORSTSTR.;117;119
KASPARSTR.;47;119
NEUSSER STR.;289;118
EMMERICHER STR.;;118
BERTHA-SANDER-STR.;57;118
NEUHÖFFERSTR.;32;118
EHRENSTR.;29;118
IM KLAPPERHOF;2;118
KONRAD-ADENAUER-UFER;5;118
KARTÄUSERWALL;2-4;118
SINZIGER STR.;6;118
WILHELMSTR. RO;57;118
URBACHER WEG PO;19;117
SIEGBURGER STR.;355;117
HÜLCHRATHER STR.;;117
HOLWEIDER STR.;;117
SCHADOWSTR.;;117
CRANACHSTR.;2;117
KEMPENER STR.;79;117
RIPHAHNSTR.;;117
HUHNSGASSE;12-14;117
ROLSHOVER STR.;;117
AUERBACHPLATZ;1;116
GRAEFFSTR.;;116
LUDWIGSTR.;;116
EHRENSTR.;59;116
JOSEPHSKIRCHSTR.;;116
GÖPPINGER STR.;;116
TEUTOBURGER STR.;;116
WILHELMSTR. RO;59;115
UNTER KRAHNENBÄUMEN;;115
ADAM-STEGERWALD-STR.;;115
BALTHASARSTR.;18;115
KALSCHEURER WEG;;115
KONRAD-ADENAUER-UFER;41-45;115
ACKERSTR.;24;115
ALTER DEUTZER POSTWEG;;115
EMIL-SCHREITERER-PLATZ;6;115
LINDENTHALGÜRTEL;;115
RICHMODSTR.;29;114
BERTHA-SANDER-STR.;16;114
DORTMUNDER STR.;;114
BAUDRIPLATZ;;114
NEUSSER STR.;202;114
MANTEUFFELSTR.;9;114
ALFRED-SCHÜTTE-ALLEE;;114
AUF DEM BERLICH;30;114
DEUTZER FREIHEIT;103;114
DIESELSTR.;;114
ALTEBURGER STR.;16;114
HOMARSTR.;10;114
THÜRMCHENSWALL;;114
VENLOER STR.;234;114
VENLOER STR.;271;113
KALKER HAUPTSTR.;130;113
MAURITIUSSTEINWEG;;113
ROBERTSTR.;;113
ADALBERTSTR.;15;113
BARDENHEUERSTR.;9;113
ANTONITERSTR.;;113
MOLTKESTR.;56;113
KRONENGASSE;3;113
HEIDELBERGER STR.;;112
MATERNUSSTR.;;112
OSKAR-JÄGER-STR.;1;112
APOSTELNSTR.;6;112
NIDEGGER STR.;;112
FRANZ-KREUTER-STR.;;112
BRANDENBURGER STR.;;112
BODENDORFER STR.;5;112
NEUSSER STR.;200;112
KARLSTR. PO;20-22;112
EMIL-SCHREITERER-PLATZ;8;112
WEIDENGASSE;4;112
ZOLLSTOCKGÜRTEL;;112
SIEGESSTR.;14;111
BOBSTR.;;111
DEUTZ-KALKER STR.;114;111
ELSTERGASSE;;111
ALTEBURGER STR.;2;111
AN DER DREHSCHEIBE;3;111
REGASTR.;;111
LOKOMOTIVSTR.;66;111
DÜSTEMICHSTR.;;110
NEUSSER STR.;24;110
NEUSSER STR.;110;110
LONGERICHER STR.;;110
FLORENZER STR.;22;110
AUF DEM BERLICH;12;110
HOHENZOLLERNRING;22-24;110
VENLOER STR.;220;110
SUBBELRATHER STR.;268;110
TAKUSTR.;;110
SIEGBURGER STR.;304/306;109
AM HOF;50;109
PETERSTR.;9;109
BÜDERICHER STR.;2;109
KONRAD-ADENAUER-UFER;11;109
PALMSTR.;33;109
MATERNUSSTR.;27-31;109
GRABENGASSE;11-13;109
AGRIPPASTR.;1-5;109
EVERHARDSTR.;67;108
HERZOGSTR.;32;108
KOMÖDIENSTR.;41;108
MORSDORFER STR.;;108
LUXEMBURGER WALL;15;108
MANTEUFFELSTR.;2;108
MATERNUSSTR. RO;28;108
HOHENSTAUFENRING;29-37;108
PETERSBERGSTR.;1-3;108
LIVERPOOLER PLATZ;1-3;108
TEMPELSTR.;;108
UNKELSHOF;2A;107
ROLSHOVER KIRCHWEG;;107
FRITZ-VOIGT-STR.;;107
GILBACHSTR.;29-31;107
KÄMMERGASSE;;107
HASELNUSSWEG;34;107
ISABELLENSTR.;4;107
HUMBOLDTSTR.;26;107
BERLINER STR.;52;107
GEREONSMÜHLENGASSE;26;107
AACHENER STR.;2;107
RIEHLER TAL;50;107
HOHENSTAUFENRING;61;107
NEUSSER STR.;228;107
ENGELBERTSTR.;33-35;107
KALK-MÜLHEIMER STR.;1;107
KAISERSESCHER STR.;;107
EHRENSTR.;43;107
OSTMERHEIMER STR.;;106
FRANKFURTER STR.;36;106
GYRHOFSTR.;8C;106
EICHENDORFFSTR.;;106
RICHARD-WAGNER-STR.;25;106
ALTER MARKT;;106
SAALESTR.;;106
KYFFHÄUSERSTR.;;106
NEUSSER STR.;236;106
PANTALEONSWALL;65-75;106
BOCHUMER STR.;;106
SIEGBURGER STR.;368;106
SIEGBURGER STR.;349;106
TIERGARTENSTR.;;105
ZÜLPICHER STR.;5;105
UNIVERSITÄTSSTR.;24;105
KRONENGASSE;8;105
BRÜCKENSTR. RO;39;105
KEMPENER STR.;93;105
HASELNUSSWEG;36;105
AUF DER BUDE;;105
NEUSSER STR.;213;105
ELISABETH-BREUER-STR.;;105
BRÜCKENSTR. RO;48;105
FRANZ-GEUER-STR.;;105
IM FERKULUM;;104
PELLENZSTR.;29;104
BUNZLAUER STR. WE;2;104
